	Mafric	Mavium	Mbovis	Mlepra	Mmicro
Number of genes	3830	4350	3968	1605	4321
Number of genes in orthogroups	3792	3834	3897	1493	3946
Number of unassigned genes	38	516	71	112	375
Percentage of genes in orthogroups	99.0	88.1	98.2	93.0	91.3
Percentage of unassigned genes	1.0	11.9	1.8	7.0	8.7
Number of orthogroups containing species	3539	2743	3616	1460	3601
Percentage of orthogroups containing species	92.0	71.3	94.0	37.9	93.6
Number of species-specific orthogroups	1	103	1	0	4
Number of genes in species-specific orthogroups	3	372	6	0	9
Percentage of genes in species-specific orthogroups	0.1	8.6	0.2	0.0	0.2


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	309	1105	232	2388	247
'1	3425	2251	3483	1438	3446
'2	78	303	83	17	112
'3	14	88	33	2	15
'4	8	31	5	2	10
'5	3	21	2	0	5
'6	5	17	5	0	4
'7	1	5	1	1	2
'8	1	6	1	0	4
'9	1	5	0	0	0
'10	0	2	0	0	0
11-15	1	7	1	0	0
16-20	0	4	0	0	1
21-50	2	3	2	0	1
51-100	0	0	0	0	1
101-150	0	0	0	0	0
151-200	0	0	0	0	0
201-500	0	0	0	0	0
501-1000	0	0	0	0	0
'1001+	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	8.0	28.7	6.0	62.1	6.4
'1	89.0	58.5	90.5	37.4	89.6
'2	2.0	7.9	2.2	0.4	2.9
'3	0.4	2.3	0.9	0.1	0.4
'4	0.2	0.8	0.1	0.1	0.3
'5	0.1	0.5	0.1	0.0	0.1
'6	0.1	0.4	0.1	0.0	0.1
'7	0.0	0.1	0.0	0.0	0.1
'8	0.0	0.2	0.0	0.0	0.1
'9	0.0	0.1	0.0	0.0	0.0
'10	0.0	0.1	0.0	0.0	0.0
11-15	0.0	0.2	0.0	0.0	0.0
16-20	0.0	0.1	0.0	0.0	0.0
21-50	0.1	0.1	0.1	0.0	0.0
51-100	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0
'1	3425	2251	3483	1438	3446
'2	156	606	166	34	224
'3	42	264	99	6	45
'4	32	124	20	8	40
'5	15	105	10	0	25
'6	30	102	30	0	24
'7	7	35	7	7	14
'8	8	48	8	0	32
'9	9	45	0	0	0
'10	0	20	0	0	0
11-15	11	87	13	0	0
16-20	0	71	0	0	16
21-50	57	76	61	0	28
51-100	0	0	0	0	52
101-150	0	0	0	0	0
151-200	0	0	0	0	0
201-500	0	0	0	0	0
501-1000	0	0	0	0	0
'1001+	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0
'1	89.4	51.7	87.8	89.6	79.8
'2	4.1	13.9	4.2	2.1	5.2
'3	1.1	6.1	2.5	0.4	1.0
'4	0.8	2.9	0.5	0.5	0.9
'5	0.4	2.4	0.3	0.0	0.6
'6	0.8	2.3	0.8	0.0	0.6
'7	0.2	0.8	0.2	0.4	0.3
'8	0.2	1.1	0.2	0.0	0.7
'9	0.2	1.0	0.0	0.0	0.0
'10	0.0	0.5	0.0	0.0	0.0
11-15	0.3	2.0	0.3	0.0	0.0
16-20	0.0	1.6	0.0	0.0	0.4
21-50	1.5	1.7	1.5	0.0	0.6
51-100	0.0	0.0	0.0	0.0	1.2
101-150	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0
