Orthogroup	Mavium	Mbovis
OG0000001	AAS05732.1, AAS05733.1	ALV12068.1, ALV12069.1
OG0000001	AAS03835.1, AAS03469.1	ALV10901.1
OG0000001	AAS03838.1	ALV10119.1, ALV09634.1
OG0000001	AAS04892.1	ALV11742.1, ALV10232.1
OG0000001	AAS06489.1	ALV12953.1, ALV11000.1, ALV12290.1, ALV10320.1, ALV10086.1, ALV10851.1, ALV12091.1, ALV12090.1, ALV12442.1, ALV11379.1, ALV12464.1, ALV09605.1, ALV09977.1, ALV12810.1
OG0000001	AAS03472.1, AAS05244.1, AAS05970.1, AAS05969.1	ALV12292.1
OG0000002	AAS04920.1	ALV10365.1
OG0000002	AAS04113.1	ALV11114.1
OG0000002	AAS03687.1	ALV10771.1
OG0000002	AAS03688.1	ALV10773.1
OG0000002	AAS06314.1	ALV12689.1
OG0000003	AAS04912.1	ALV09513.1
OG0000003	AAS06315.1, AAS06040.1	ALV09539.1, ALV09697.1
OG0000003	AAS06332.1	ALV13124.1, ALV11973.1, ALV09545.1
OG0000004	AAS04056.1, AAS06127.1, AAS03019.1, AAS06143.1, AAS02583.1, AAS04847.1, AAS05268.1, AAS05878.1, AAS03015.1, AAS04976.1, AAS05563.1, AAS04967.1, AAS05809.1, AAS04665.1, AAS05801.1, AAS04710.1, AAS03694.1, AAS05770.1, AAS04104.1, AAS06057.1, AAS03026.1, AAS03772.1, AAS02895.1, AAS03753.1, AAS05062.1, AAS02667.1, AAS06053.1, AAS03698.1, AAS05880.1, AAS05685.1, AAS04843.1, AAS03071.1, AAS04024.1, AAS06429.1	ALV13001.1
OG0000005	AAS04913.1	ALV10367.1
OG0000005	AAS06302.1, AAS04180.1	ALV10668.1, ALV10661.1
OG0000005	AAS05834.1	ALV09649.1
OG0000005	AAS04179.1	ALV11908.1, ALV11892.1
OG0000006	AAS06694.1	ALV10896.1
OG0000006	AAS04893.1, AAS03824.1	ALV10881.1, ALV10883.1
OG0000006	AAS03831.1	ALV12395.1
OG0000007	AAS06514.1	ALV09713.1
OG0000007	AAS06667.1	ALV09870.1
OG0000007	AAS06513.1	ALV12813.1
OG0000007	AAS06645.1	ALV12328.1, ALV09868.1, ALV09869.1
OG0000008	AAS04661.1, AAS03091.1, AAS02985.1, AAS04183.1, AAS03044.1, AAS06618.1, AAS04500.1, AAS04966.1, AAS04682.1, AAS04699.1, AAS04842.1, AAS03069.1, AAS04347.1, AAS04296.1, AAS04901.1, AAS06368.1, AAS04688.1, AAS04578.1, AAS03931.1, AAS02839.1	ALV12452.1
OG0000009	AAS05597.1	ALV09745.1, ALV10694.1
OG0000009	AAS04055.1	ALV11373.1, ALV11372.1, ALV09901.1
OG0000012	AAS02919.1	ALV09992.1
OG0000012	AAS04965.1, AAS03072.1, AAS04900.1, AAS06063.1, AAS04503.1, AAS05691.1, AAS04964.1, AAS05099.1, AAS03975.1, AAS04401.1, AAS04504.1, AAS04655.1, AAS05690.1, AAS06212.1	ALV09479.1
OG0000013	AAS06442.1	ALV12896.1
OG0000013	AAS05112.1	ALV12592.1
OG0000013	AAS06487.1, AAS03130.1, AAS03564.1	ALV12462.1
OG0000013	AAS02845.1, AAS03474.1, AAS02865.1	ALV13201.1
OG0000014	AAS06300.1, AAS06496.1, AAS02392.1, AAS05598.1	ALV12954.1
OG0000014	AAS06439.1, AAS04555.1, AAS04054.1	ALV12843.1
OG0000014	AAS03558.1	ALV09695.1
OG0000016	AAS02879.1	ALV12413.1
OG0000016	AAS06632.1	ALV09815.1
OG0000017	AAS02999.1, AAS03033.1, AAS04679.1, AAS04065.1, AAS03065.1, AAS03030.1, AAS04668.1, AAS04972.1, AAS04544.1, AAS03775.1, AAS04902.1, AAS04702.1, AAS06135.1, AAS04669.1, AAS02824.1	ALV12466.1
OG0000018	AAS06739.1	ALV10831.1
OG0000018	AAS05935.1, AAS06614.1, AAS04393.1, AAS06431.1, AAS02539.1, AAS03199.1, AAS06741.1, AAS06740.1, AAS06747.1, AAS02980.1	ALV10045.1
OG0000020	AAS04473.1	ALV11787.1, ALV09980.1
OG0000021	AAS04962.1, AAS06200.1, AAS06208.1, AAS05065.1, AAS04712.1, AAS02471.1, AAS04707.1, AAS06475.1, AAS03200.1, AAS03000.1, AAS04715.1, AAS04716.1, AAS03998.1	ALV10322.1
OG0000024	AAS03926.1	ALV10975.1
OG0000024	AAS02533.1	ALV12672.1
OG0000024	AAS06081.1	ALV09398.1
OG0000026	AAS03816.1, AAS06737.1, AAS02445.1, AAS06134.1, AAS03747.1, AAS03915.1, AAS04798.1, AAS02543.1, AAS04371.1, AAS04280.1, AAS03201.1	ALV10141.1
OG0000028	AAS03825.1	ALV10884.1, ALV10231.1, ALV10375.1
OG0000029	AAS04855.1, AAS04698.1, AAS04515.1, AAS05091.1, AAS03756.1, AAS02366.1, AAS03700.1	ALV12026.1
OG0000029	AAS04854.1	ALV10417.1
OG0000030	AAS04472.1	ALV11788.1, ALV09981.1
OG0000031	AAS06151.1, AAS02997.1, AAS04717.1, AAS06209.1, AAS04672.1, AAS05064.1, AAS04659.1, AAS03097.1, AAS04505.1, AAS06054.1, AAS04388.1	ALV09428.1
OG0000032	AAS06634.1	ALV09817.1
OG0000033	AAS06635.1	ALV09818.1
OG0000033	AAS04507.1, AAS03077.1, AAS04169.1, AAS02426.1, AAS04432.1	ALV09432.1
OG0000034	AAS04821.1	ALV10434.1
OG0000035	AAS06271.1, AAS04011.1	ALV12686.1
OG0000035	AAS06313.1	ALV12688.1
OG0000036	AAS03823.1	ALV12983.1, ALV12984.1, ALV10809.1, ALV10882.1
OG0000037	AAS06834.1	ALV10166.1
OG0000038	AAS02439.1	ALV10547.1
OG0000038	AAS06331.1	ALV09544.1
OG0000040	AAS04103.1, AAS04554.1, AAS02649.1, AAS05198.1, AAS04840.1, AAS04513.1, AAS04330.1, AAS06169.1, AAS06126.1, AAS03187.1	ALV10130.1
OG0000041	AAS03444.1, AAS04335.1, AAS04517.1, AAS06144.1, AAS03758.1, AAS03937.1, AAS06059.1, AAS03780.1, AAS03767.1, AAS04693.1	ALV10553.1
OG0000042	AAS06726.1	ALV12825.1, ALV12802.1
OG0000042	AAS03370.1	ALV09639.1
OG0000044	AAS04550.1, AAS05628.1	ALV12687.1, ALV12952.1
OG0000044	AAS04549.1	ALV10366.1
OG0000045	AAS04757.1	ALV10482.1, ALV10484.1, ALV10483.1
OG0000046	AAS06045.1, AAS04337.1	ALV10857.1
OG0000046	AAS03793.1, AAS05978.1, AAS04621.1, AAS02650.1	ALV12602.1
OG0000047	AAS03840.1, AAS03837.1, AAS03471.1, AAS05102.1, AAS05706.1, AAS05103.1, AAS05968.1, AAS02904.1, AAS03834.1	ALV10902.1
OG0000048	AAS03081.1, AAS04510.1, AAS06638.1	ALV09820.1
OG0000048	AAS06158.1	ALV12790.1
OG0000049	AAS05813.1, AAS03745.1, AAS06424.1	ALV09638.1
OG0000049	AAS03878.1	ALV10945.1
OG0000050	AAS06312.1, AAS05713.1, AAS03991.1, AAS05188.1	ALV10663.1, ALV10665.1
OG0000051	AAS05197.1, AAS05769.1, AAS04201.1, AAS03936.1, AAS05882.1, AAS04812.1, AAS06010.1, AAS03749.1, AAS03782.1	ALV10806.1
OG0000053	AAS04315.1	ALV11287.1
OG0000053	AAS06035.1, AAS04316.1	ALV11288.1
OG0000054	AAS02854.1, AAS03695.1, AAS05877.1, AAS06856.1, AAS02375.1, AAS06099.1, AAS02605.1, AAS02604.1	ALV12438.1
OG0000055	AAS03003.1, AAS04377.1, AAS03337.1, AAS04724.1, AAS03041.1, AAS04963.1, AAS05887.1, AAS02827.1	ALV13204.1
OG0000056	AAS02820.1, AAS04680.1, AAS03776.1, AAS03064.1, AAS04545.1, AAS03032.1, AAS04670.1, AAS02998.1	ALV12469.1
OG0000057	AAS04187.1, AAS04188.1, AAS03559.1, AAS04186.1, AAS03737.1, AAS04489.1	ALV09374.1
OG0000058	AAS06815.1	ALV12352.1
OG0000058	AAS06486.1	ALV09685.1
OG0000060	AAS06722.1, AAS05938.1	ALV10134.1
OG0000060	AAS03189.1	ALV10132.1
OG0000061	AAS04356.1, AAS05043.1	ALV11075.1
OG0000061	AAS04924.1	ALV10362.1
OG0000064	AAS03686.1	ALV10770.1
OG0000064	AAS04959.1, AAS03689.1	ALV10774.1
OG0000065	AAS05037.1, AAS06596.1, AAS04069.1, AAS03488.1, AAS03272.1, AAS05808.1	ALV13039.1
OG0000066	AAS02826.1, AAS04975.1, AAS03042.1, AAS02469.1, AAS02391.1, AAS04686.1, AAS03286.1	ALV12463.1
OG0000067	AAS02345.1, AAS03467.1, AAS04591.1, AAS04467.1, AAS02421.1, AAS06309.1, AAS03166.1	ALV13213.1
OG0000069	AAS06153.1	ALV09430.1
OG0000069	AAS06633.1	ALV09816.1
OG0000070	AAS06636.1	ALV12834.1
OG0000070	AAS06156.1	ALV09433.1
OG0000071	AAS06637.1	ALV09819.1
OG0000071	AAS06157.1	ALV09434.1
OG0000072	AAS06639.1	ALV12835.1
OG0000072	AAS06159.1	ALV09435.1
OG0000073	AAS04681.1, AAS06145.1, AAS03762.1, AAS03755.1, AAS04052.1, AAS06205.1	ALV09473.1
OG0000074	AAS03512.1	ALV10623.1
OG0000074	AAS06244.1	ALV09502.1
OG0000075	AAS06257.1	ALV09518.1
OG0000075	AAS04419.1	ALV13043.1
OG0000077	AAS03340.1	ALV10264.1
OG0000077	AAS03773.1	ALV12400.1
OG0000078	AAS05763.1, AAS03666.1, AAS04028.1, AAS03087.1, AAS05645.1, AAS04876.1	ALV10397.1
OG0000079	AAS03266.1, AAS03663.1	ALV10517.1
OG0000080	AAS03475.1	ALV10580.1
OG0000080	AAS04618.1	ALV11497.1
OG0000081	AAS03788.1, AAS04791.1, AAS03382.1, AAS04499.1, AAS02443.1, AAS03580.1	ALV10695.1
OG0000082	AAS05092.1, AAS03763.1, AAS05055.1	ALV10823.1, ALV12980.1
OG0000083	AAS04071.1	ALV11073.1
OG0000083	AAS04058.1, AAS04059.1	ALV11094.1
OG0000084	AAS06876.1	ALV12746.1, ALV11144.1
OG0000085	AAS02847.1, AAS03013.1, AAS03750.1, AAS03008.1, AAS05948.1, AAS03800.1	ALV13202.1
OG0000086	AAS02587.1, AAS02572.1, AAS02584.1, AAS06860.1, AAS05745.1, AAS05672.1	ALV12630.1
OG0000088	AAS05841.1	ALV12121.1, ALV09340.1
OG0000089	AAS06597.1, AAS04036.1, AAS04043.1, AAS04100.1	ALV09344.1
OG0000090	AAS06483.1	ALV09345.1, ALV09684.1
OG0000091	AAS05016.1	ALV10283.1, ALV09347.1
OG0000093	AAS02615.1	ALV10317.1
OG0000093	AAS06509.1	ALV09709.1
OG0000094	AAS06561.1	ALV09754.1
OG0000094	AAS02925.1	ALV09998.1
OG0000095	AAS06576.1	ALV09762.1
OG0000096	AAS06608.1	ALV09794.1, ALV10185.1
OG0000097	AAS02745.1, AAS03167.1, AAS02906.1, AAS02570.1, AAS02981.1, AAS04619.1	ALV09978.1
OG0000099	AAS02962.1	ALV12853.1, ALV12056.1
OG0000100	AAS05902.1, AAS06867.1, AAS05823.1, AAS03006.1	ALV10059.1
