Orthogroup	Mafric	Mavium	Mbovis	Mlepra	Mmicro
OG0000000	"CCC25184.1, CCC25371.1, CCC25657.1, CCC25829.1, CCC25914.1, CCC25915.1, CCC25953.1, CCC26059.1, CCC26062.1, CCC26152.1, CCC26153.1, CCC26172.1, CCC26334.1, CCC26421.1, CCC26490.1, CCC26535.1, CCC26544.1, CCC26546.1, CCC26910.1, CCC26932.1, CCC27245.1, CCC27480.1, CCC27572.1, CCC27575.1, CCC27678.1, CCC27704.1, CCC27723.1, CCC27928.1, CCC28429.1, CCC28451.1, CCC28470.1, CCC28589.1, CCC28593.1, CCC28672.1, CCC28677.1"		"ALV09382.1, ALV09393.1, ALV09554.1, ALV09765.1, ALV09807.1, ALV10047.1, ALV10049.1, ALV10080.1, ALV10174.1, ALV10177.1, ALV10259.1, ALV10274.1, ALV10281.1, ALV10415.1, ALV10490.1, ALV10556.1, ALV10596.1, ALV10607.1, ALV10609.1, ALV10866.1, ALV10910.1, ALV10932.1, ALV11158.1, ALV11418.1, ALV11501.1, ALV11599.1, ALV11623.1, ALV11641.1, ALV11719.1, ALV11823.1, ALV12324.1, ALV12419.1, ALV12422.1, ALV12424.1, ALV12493.1, ALV12498.1, ALV12895.1, ALV13177.1, ALV13179.1"		"AMC57554.1, AMC57570.1, AMC57601.1, AMC57743.1, AMC57745.1, AMC57747.1, AMC57766.1, AMC58021.1, AMC58077.1, AMC58258.1, AMC58259.1, AMC58354.1, AMC58357.1, AMC58396.1, AMC58514.1, AMC58516.1, AMC58517.1, AMC58520.1, AMC58625.1, AMC58626.1, AMC58646.1, AMC58652.1, AMC58818.1, AMC58911.1, AMC58989.1, AMC59037.1, AMC59051.1, AMC59054.1, AMC59257.1, AMC59386.1, AMC59395.1, AMC59432.1, AMC59472.1, AMC59754.1, AMC59828.1, AMC60085.1, AMC60180.1, AMC60188.1, AMC60299.1, AMC60324.1, AMC60347.1, AMC60453.1, AMC60572.1, AMC61141.1, AMC61148.1, AMC61163.1, AMC61292.1, AMC61295.1, AMC61301.1, AMC61310.1, AMC61397.1, AMC61402.1"
OG0000001	"CCC25379.1, CCC25428.1, CCC25462.1, CCC25838.1, CCC25959.1, CCC25996.1, CCC26122.1, CCC26647.1, CCC26842.1, CCC26900.1, CCC27010.1, CCC27011.1, CCC27435.1, CCC27438.1, CCC27439.1, CCC27843.1, CCC28202.1, CCC28213.1, CCC28214.1, CCC28238.1, CCC28428.1, CCC28639.1"	"AAS02759.1, AAS03283.1, AAS03469.1, AAS03472.1, AAS03822.1, AAS03832.1, AAS03833.1, AAS03835.1, AAS03838.1, AAS03992.1, AAS03993.1, AAS04453.1, AAS04892.1, AAS04917.1, AAS04918.1, AAS05244.1, AAS05732.1, AAS05733.1, AAS05969.1, AAS05970.1, AAS06489.1"	"ALV09605.1, ALV09634.1, ALV09977.1, ALV10086.1, ALV10119.1, ALV10232.1, ALV10320.1, ALV10851.1, ALV10901.1, ALV11000.1, ALV11379.1, ALV11742.1, ALV12068.1, ALV12069.1, ALV12090.1, ALV12091.1, ALV12290.1, ALV12292.1, ALV12442.1, ALV12464.1, ALV12810.1, ALV12953.1"		"AMC57775.1, AMC57826.1, AMC57827.1, AMC57862.1, AMC57921.1, AMC58269.1, AMC58403.1, AMC58447.1, AMC58595.1, AMC58701.1, AMC59163.1, AMC59435.1, AMC59436.1, AMC59438.1, AMC59557.1, AMC59558.1, AMC60037.1, AMC60038.1, AMC60039.1, AMC60480.1, AMC60869.1, AMC60882.1, AMC60883.1, AMC60908.1, AMC61119.1, AMC61123.1, AMC61336.1, AMC61361.1"
OG0000002	"CCC26272.1, CCC26626.1, CCC26752.1, CCC27133.1, CCC28006.1, CCC28007.1, CCC28008.1, CCC28009.1, CCC28015.1, CCC28022.1, CCC28909.1"	"AAS03687.1, AAS03688.1, AAS04113.1, AAS04920.1, AAS06314.1"	"ALV10365.1, ALV10666.1, ALV10771.1, ALV10772.1, ALV10773.1, ALV11114.1, ALV11893.1, ALV11894.1, ALV11895.1, ALV11896.1, ALV11900.1, ALV12689.1, ALV13113.1"	"CAC29643.1, CAC29647.1, CAC31610.1, CAC31870.1, CAC31871.1, CAC31872.1, CAC31873.1"	"AMC58752.1, AMC59140.1, AMC59141.1, AMC59268.1, AMC59270.1, AMC59272.1, AMC59696.1, AMC60655.1, AMC60657.1, AMC60658.1, AMC60659.1, AMC60660.1, AMC60666.1, AMC60667.1, AMC60676.1, AMC61650.1"
OG0000003	"CCC25329.1, CCC25354.1, CCC25360.1, CCC25527.1, CCC26481.1, CCC28094.1, CCC28098.1, CCC28817.1, CCC28956.1"	"AAS02440.1, AAS02441.1, AAS03461.1, AAS04051.1, AAS04130.1, AAS04912.1, AAS06040.1, AAS06275.1, AAS06287.1, AAS06315.1, AAS06332.1"	"ALV09513.1, ALV09539.1, ALV09545.1, ALV09697.1, ALV10548.1, ALV11973.1, ALV13124.1"	"CAC29559.1, CAC30047.1, CAC30096.1, CAC30781.1"	"AMC57716.1, AMC57749.1, AMC57755.1, AMC57932.1, AMC58979.1, AMC58980.1, AMC60758.1"
OG0000004	CCC27084.1	"AAS02583.1, AAS02667.1, AAS02895.1, AAS03015.1, AAS03019.1, AAS03026.1, AAS03071.1, AAS03694.1, AAS03698.1, AAS03753.1, AAS03772.1, AAS04024.1, AAS04056.1, AAS04104.1, AAS04665.1, AAS04710.1, AAS04843.1, AAS04847.1, AAS04967.1, AAS04976.1, AAS05062.1, AAS05268.1, AAS05563.1, AAS05685.1, AAS05770.1, AAS05801.1, AAS05809.1, AAS05878.1, AAS05880.1, AAS06053.1, AAS06057.1, AAS06127.1, AAS06143.1, AAS06429.1"	ALV13001.1		AMC59643.1
OG0000005	"CCC25478.1, CCC26276.1, CCC26620.1, CCC26628.1, CCC28005.1, CCC28016.1, CCC28025.1, CCC28910.1"	"AAS04179.1, AAS04180.1, AAS04552.1, AAS04913.1, AAS05834.1, AAS06302.1"	"ALV09649.1, ALV10367.1, ALV10661.1, ALV10668.1, ALV11892.1, ALV11901.1, ALV11908.1, ALV12690.1"	"CAC29640.1, CAC29646.1, CAC31615.1, CAC31874.1"	"AMC57882.1, AMC58756.1, AMC59131.1, AMC59143.1, AMC60654.1, AMC60668.1, AMC60679.1, AMC61651.1"
OG0000006	"CCC26286.1, CCC26880.1, CCC26883.1, CCC26895.1, CCC27189.1, CCC27493.1, CCC28559.1"	"AAS02758.1, AAS03320.1, AAS03824.1, AAS03831.1, AAS04893.1, AAS06694.1"	"ALV10881.1, ALV10883.1, ALV10896.1, ALV11165.1, ALV12395.1, ALV12916.1"	"CAC29918.1, CAC31434.1, CAC31564.1"	"AMC59415.1, AMC59418.1, AMC59450.1, AMC59762.1, AMC61262.1"
OG0000007	"CCC25544.1, CCC25545.1, CCC25724.1, CCC25725.1, CCC25726.1, CCC28474.1"	"AAS02452.1, AAS06513.1, AAS06514.1, AAS06645.1, AAS06667.1"	"ALV09713.1, ALV09868.1, ALV09869.1, ALV09870.1, ALV12328.1, ALV12813.1"	"CAC30854.1, CAC31976.1"	"AMC57949.1, AMC57950.1, AMC58145.1, AMC58146.1, AMC58147.1, AMC61169.1"
OG0000008	CCC28626.1	"AAS02839.1, AAS02985.1, AAS03044.1, AAS03069.1, AAS03091.1, AAS03931.1, AAS04183.1, AAS04296.1, AAS04347.1, AAS04500.1, AAS04578.1, AAS04661.1, AAS04682.1, AAS04688.1, AAS04699.1, AAS04842.1, AAS04901.1, AAS04966.1, AAS06368.1, AAS06618.1"	ALV12452.1	CAC31570.1	AMC61348.1
OG0000009	"CCC25476.1, CCC25524.1, CCC25586.1, CCC25757.1, CCC26656.1, CCC27422.1"	"AAS03556.1, AAS03557.1, AAS04055.1, AAS05597.1"	"ALV09694.1, ALV09745.1, ALV09901.1, ALV10694.1, ALV11372.1, ALV11373.1"	CAC31894.1	"AMC57880.1, AMC57929.1, AMC57994.1, AMC58182.1, AMC59173.1, AMC60021.1"
