Orthogroup	Mavium	Mlepra
OG0000002	AAS04920.1	CAC31610.1
OG0000003	AAS04912.1	CAC30781.1
OG0000003	AAS02441.1	CAC30096.1
OG0000003	AAS04051.1	CAC29559.1
OG0000005	AAS04913.1	CAC31615.1
OG0000005	AAS04179.1	CAC29640.1, CAC31874.1
OG0000006	AAS06694.1, AAS03320.1, AAS02758.1, AAS04893.1, AAS03824.1, AAS03831.1	CAC31434.1, CAC31564.1
OG0000007	AAS06514.1	CAC31976.1
OG0000007	AAS06667.1	CAC30854.1
OG0000008	AAS04661.1, AAS03091.1, AAS02985.1, AAS04183.1, AAS03044.1, AAS06618.1, AAS04500.1, AAS04966.1, AAS04682.1, AAS04699.1, AAS04842.1, AAS03069.1, AAS04347.1, AAS04296.1, AAS04901.1, AAS06368.1, AAS04688.1, AAS04578.1, AAS03931.1, AAS02839.1	CAC31570.1
OG0000009	AAS03556.1, AAS03557.1, AAS05597.1, AAS04055.1	CAC31894.1
OG0000014	AAS06300.1, AAS06496.1, AAS02392.1, AAS05598.1, AAS06439.1, AAS04555.1, AAS04054.1, AAS05678.1, AAS03558.1	CAC31893.1
OG0000016	AAS06152.1, AAS02879.1, AAS03074.1, AAS04434.1, AAS04166.1, AAS02409.1, AAS06632.1	CAC32119.1
OG0000024	AAS03926.1	CAC30983.1
OG0000024	AAS02533.1	CAC29605.1
OG0000024	AAS06081.1	CAC32187.1
OG0000026	AAS03816.1, AAS06737.1, AAS02445.1, AAS06134.1, AAS03747.1, AAS03915.1, AAS04798.1, AAS02543.1, AAS04371.1, AAS04280.1, AAS03201.1	CAC31307.1
OG0000028	AAS03825.1	CAC31562.1, CAC31436.1
OG0000029	AAS04855.1, AAS04698.1, AAS04515.1, AAS05091.1, AAS03756.1, AAS02366.1, AAS03700.1, AAS04854.1	CAC31475.1
OG0000032	AAS06154.1, AAS05839.1, AAS03076.1, AAS04506.1, AAS04433.1, AAS06634.1	CAC32121.1
OG0000033	AAS06155.1, AAS06635.1, AAS04507.1, AAS03077.1, AAS04169.1, AAS02426.1, AAS04432.1	CAC32122.1
OG0000035	AAS04548.1, AAS06271.1, AAS04011.1, AAS06313.1	CAC31611.1
OG0000038	AAS02439.1	CAC30046.1
OG0000038	AAS06331.1	CAC32065.1
OG0000044	AAS04550.1, AAS05628.1, AAS04549.1	CAC31612.1
OG0000048	AAS03081.1, AAS04510.1, AAS06638.1, AAS06158.1	CAC32125.1
OG0000049	AAS05813.1, AAS03745.1, AAS06424.1, AAS03878.1	CAC31016.1
OG0000050	AAS06312.1, AAS05713.1, AAS03991.1, AAS05188.1	CAC31864.1
OG0000053	AAS04315.1	CAC30606.1
OG0000053	AAS06035.1, AAS04316.1	CAC30607.1
OG0000057	AAS04187.1, AAS04188.1, AAS03559.1, AAS04186.1, AAS03737.1, AAS04489.1	CAC30951.1
OG0000058	AAS06815.1	CAC29889.1
OG0000058	AAS06486.1	CAC29825.1
OG0000060	AAS06722.1, AAS05938.1, AAS03189.1	CAC31050.1
OG0000061	AAS04356.1, AAS05043.1, AAS04924.1	CAC30439.1
OG0000065	AAS05037.1, AAS06596.1, AAS04069.1, AAS03488.1, AAS03272.1, AAS05808.1	CAC29966.1
OG0000068	AAS03059.1, AAS03060.1, AAS05089.1, AAS05093.1, AAS05088.1, AAS03944.1, AAS03096.1, AAS04674.1, AAS04706.1	CAC30968.1
OG0000069	AAS06153.1, AAS06633.1	CAC32120.1
OG0000070	AAS06636.1, AAS06156.1	CAC32123.1
OG0000071	AAS06637.1, AAS06157.1	CAC32124.1
OG0000072	AAS06639.1, AAS06159.1	CAC32126.1
OG0000074	AAS03512.1, AAS06244.1	CAC32094.1
OG0000075	AAS06257.1, AAS04419.1	CAC31225.1
OG0000077	AAS03340.1, AAS03773.1	CAC29822.1
OG0000079	AAS03266.1, AAS03663.1, AAS04829.1, AAS03664.1	CAC30703.1
OG0000080	AAS03475.1, AAS04618.1	CAC31624.1
OG0000088	AAS05841.1	CAC30153.1
OG0000089	AAS06597.1, AAS04036.1, AAS04043.1, AAS04100.1	CAC29824.1
OG0000090	AAS06483.1	CAC29823.1
OG0000091	AAS05016.1	CAC30908.1
OG0000095	AAS06576.1, AAS05591.1	CAC29556.1
OG0000096	AAS06608.1	CAC31793.1
OG0000099	AAS02962.1	CAC31153.1
OG0000100	AAS05902.1, AAS06867.1, AAS05823.1, AAS03006.1	CAC30305.1
OG0000101	AAS03094.1, AAS04714.1, AAS03910.1, AAS03334.1	CAC31918.1
OG0000103	AAS06310.1	CAC29638.1
OG0000106	AAS05643.1	CAC30684.1
OG0000108	AAS04116.1	CAC30390.1
OG0000108	AAS04117.1	CAC30391.1
OG0000110	AAS04589.1	CAC29637.1
OG0000113	AAS05122.1	CAC31417.1
OG0000114	AAS05586.1, AAS05803.1, AAS06062.1, AAS06225.1	CAC30649.1
OG0000115	AAS06646.1, AAS03063.1, AAS04974.1, AAS06025.1	CAC29926.1
OG0000121	AAS02324.1	CAC32162.1, CAC29515.1
OG0000122	AAS06841.1, AAS03285.1	CAC32209.1
OG0000124	AAS06333.1	CAC32063.1
OG0000125	AAS06334.1	CAC32062.1
OG0000126	AAS05036.1, AAS04696.1, AAS06420.1	CAC29787.1
OG0000127	AAS05668.1, AAS02688.1, AAS06434.1	CAC29777.1
OG0000128	AAS06822.1, AAS04448.1, AAS06471.1	CAC30880.1
OG0000130	AAS02961.1	CAC31154.1
OG0000131	AAS02589.1, AAS02971.1	CAC31144.1
OG0000132	AAS04519.1, AAS02975.1, AAS04521.1	CAC31140.1
OG0000137	AAS03524.1, AAS05985.1, AAS05984.1	CAC30761.1
OG0000138	AAS02991.1, AAS02990.1, AAS03543.1	CAC30752.1
OG0000142	AAS02661.1, AAS04350.1, AAS03920.1	CAC31043.1
OG0000149	AAS05120.1	CAC31419.1
OG0000152	AAS03553.1, AAS03554.1, AAS06082.1	CAC31866.1
OG0000154	AAS06699.1, AAS03224.1, AAS05555.1	CAC30622.1
OG0000158	AAS05973.1	CAC30222.1
OG0000159	AAS05975.1	CAC30220.1
OG0000161	AAS05979.1	CAC30216.1
OG0000162	AAS05980.1	CAC30215.1
OG0000163	AAS05983.1	CAC30212.1
OG0000164	AAS05988.1	CAC30209.1
OG0000165	AAS05990.1	CAC31129.1
OG0000166	AAS05991.1	CAC30208.1
OG0000167	AAS05992.1	CAC30207.1
OG0000171	AAS06012.1	CAC30184.1
OG0000175	AAS05012.1, AAS06816.1, AAS02743.1	CAC29709.1
OG0000177	AAS02901.1, AAS02643.1, AAS02578.1	CAC30921.1
OG0000179	AAS04136.1, AAS04135.1, AAS02551.1	CAC29616.1
OG0000183	AAS02377.1	CAC29904.1, CAC32224.1
OG0000186	AAS06226.1, AAS06072.1	CAC32195.1
OG0000188	AAS06148.1	CAC32161.1, CAC29632.1
OG0000190	AAS06296.1, AAS06182.1	CAC32141.1
OG0000197	AAS06390.1, AAS05667.1	CAC32013.1
OG0000198	AAS04012.1, AAS06392.1	CAC32011.1
OG0000200	AAS06532.1, AAS05822.1	CAC31957.1
OG0000201	AAS06538.1	CAC31950.1
OG0000202	AAS05284.1, AAS06543.1	CAC31944.1
OG0000203	AAS06554.1	CAC31936.1
OG0000204	AAS06589.1, AAS04081.1	CAC31214.1
OG0000205	AAS03982.1, AAS06605.1	CAC31789.1
OG0000209	AAS06693.1, AAS02681.1	CAC30831.1
OG0000210	AAS06738.1	CAC30793.1
OG0000216	AAS02972.1, AAS02449.1	CAC31143.1
OG0000217	AAS03106.1, AAS04031.1	CAC31117.1
OG0000218	AAS03107.1, AAS04032.1	CAC31116.1
OG0000219	AAS06460.1, AAS03136.1	CAC31095.1
