Orthogroup	Mbovis	Mmicro
OG0000000	ALV10415.1	AMC58818.1
OG0000000	ALV10932.1	AMC59472.1
OG0000000	ALV10281.1	AMC59257.1, AMC58652.1
OG0000000	ALV10556.1	AMC58989.1
OG0000000	ALV13179.1	AMC61141.1
OG0000000	ALV12324.1	AMC61163.1
OG0000000	ALV10259.1	AMC58625.1
OG0000000	ALV12895.1	AMC58626.1
OG0000000	ALV12422.1	AMC61301.1
OG0000000	ALV12424.1	AMC61295.1, AMC61310.1
OG0000000	ALV11158.1	AMC59828.1, AMC59754.1
OG0000000	ALV11641.1	AMC60347.1
OG0000000	ALV11501.1	AMC60180.1, AMC60188.1
OG0000000	ALV10607.1	AMC59051.1, AMC59054.1
OG0000000	ALV10596.1	AMC59037.1
OG0000000	ALV13177.1, ALV11418.1	AMC60085.1
OG0000000	ALV09382.1	AMC57554.1
OG0000000	ALV11823.1	AMC60572.1
OG0000000	ALV12498.1	AMC61402.1
OG0000000	ALV11599.1	AMC60299.1
OG0000000	ALV10080.1	AMC58396.1
OG0000000	ALV11719.1	AMC60453.1
OG0000000	ALV10047.1	AMC58354.1
OG0000000	ALV10910.1, ALV10866.1	AMC59395.1
OG0000000	ALV12419.1	AMC61292.1
OG0000000	ALV10049.1	AMC58357.1
OG0000000	ALV10490.1	AMC58911.1
OG0000000	ALV09765.1	AMC58021.1
OG0000000	ALV09554.1	AMC57766.1
OG0000000	ALV09807.1	AMC58077.1
OG0000000	ALV09393.1	AMC57570.1
OG0000000	ALV12493.1	AMC61397.1
OG0000000	ALV10274.1	AMC58646.1
OG0000000	ALV10177.1	AMC58520.1
OG0000000	ALV10174.1	AMC60324.1, AMC58517.1
OG0000001	ALV12068.1	AMC60882.1
OG0000001	ALV12069.1	AMC60883.1
OG0000001	ALV10901.1	AMC59438.1
OG0000001	ALV10119.1	AMC58447.1
OG0000001	ALV09634.1	AMC57862.1
OG0000001	ALV11742.1	AMC60480.1
OG0000001	ALV10232.1	AMC58595.1
OG0000001	ALV12953.1	AMC59163.1
OG0000001	ALV11000.1	AMC59557.1
OG0000001	ALV12290.1	AMC61119.1
OG0000001	ALV10320.1	AMC58701.1
OG0000001	ALV10086.1	AMC58403.1
OG0000001	ALV12091.1	AMC60908.1
OG0000001	ALV12442.1	AMC61336.1
OG0000001	ALV11379.1	AMC60038.1
OG0000001	ALV12464.1	AMC61361.1
OG0000001	ALV09605.1	AMC57827.1, AMC57826.1, AMC57775.1
OG0000001	ALV09977.1	AMC58269.1
OG0000001	ALV12810.1	AMC57921.1
OG0000001	ALV12292.1	AMC61123.1
OG0000002	ALV10365.1	AMC58752.1
OG0000002	ALV10666.1	AMC59141.1
OG0000002	ALV11900.1	AMC60667.1
OG0000002	ALV11895.1	AMC60659.1
OG0000002	ALV13113.1	AMC60676.1
OG0000002	ALV10772.1	AMC59270.1
OG0000002	ALV11114.1	AMC59696.1
OG0000002	ALV10771.1	AMC59268.1
OG0000002	ALV10773.1	AMC59272.1
OG0000002	ALV11894.1	AMC60657.1
OG0000002	ALV11893.1	AMC60655.1
OG0000002	ALV11896.1	AMC60660.1
OG0000002	ALV12689.1	AMC61650.1
OG0000003	ALV09513.1	AMC57716.1
OG0000003	ALV10548.1	AMC58980.1
OG0000003	ALV09539.1	AMC57749.1
OG0000003	ALV09697.1	AMC57932.1
OG0000003	ALV13124.1, ALV11973.1	AMC60758.1
OG0000003	ALV09545.1	AMC57755.1
OG0000004	ALV13001.1	AMC59643.1
OG0000005	ALV10367.1	AMC58756.1
OG0000005	ALV10668.1	AMC59143.1
OG0000005	ALV10661.1	AMC59131.1
OG0000005	ALV11901.1	AMC60668.1
OG0000005	ALV12690.1	AMC61651.1
OG0000005	ALV09649.1	AMC57882.1
OG0000005	ALV11908.1	AMC60679.1
OG0000005	ALV11892.1	AMC60654.1
OG0000006	ALV11165.1	AMC59762.1
OG0000006	ALV10896.1	AMC59450.1
OG0000006	ALV10881.1	AMC59415.1
OG0000006	ALV10883.1	AMC59418.1
OG0000006	ALV12395.1	AMC61262.1
OG0000007	ALV09713.1	AMC57950.1
OG0000007	ALV09870.1	AMC58147.1
OG0000007	ALV12813.1	AMC57949.1
OG0000007	ALV12328.1	AMC61169.1
OG0000007	ALV09868.1	AMC58145.1
OG0000007	ALV09869.1	AMC58146.1
OG0000008	ALV12452.1	AMC61348.1
OG0000009	ALV09694.1	AMC57929.1
OG0000009	ALV09745.1	AMC57994.1
OG0000009	ALV10694.1	AMC59173.1
OG0000009	ALV11372.1	AMC60021.1
OG0000009	ALV09901.1	AMC58182.1
OG0000011	ALV10316.1	AMC58693.1
OG0000011	ALV11023.1, ALV10333.1	AMC58715.1, AMC59588.1
OG0000011	ALV12957.1	AMC59188.1
OG0000011	ALV09369.1, ALV13193.1	AMC57538.1
OG0000012	ALV09992.1	AMC58284.1
OG0000012	ALV09479.1	AMC57680.1
