Orthogroup	Mafric	Mavium
OG0000001	CCC28213.1, CCC28214.1	AAS05732.1, AAS05733.1
OG0000001	CCC26900.1	AAS03835.1, AAS03469.1
OG0000001	CCC25996.1, CCC25462.1	AAS03838.1
OG0000001	CCC27843.1, CCC26122.1	AAS04892.1
OG0000001	CCC28202.1, CCC27438.1, CCC27435.1	AAS04453.1
OG0000001	CCC26647.1, CCC27011.1, CCC27010.1, CCC28428.1, CCC25959.1, CCC26842.1, CCC28238.1, CCC27439.1, CCC28639.1, CCC25379.1, CCC25838.1	AAS06489.1
OG0000001	CCC25428.1	AAS03472.1, AAS05244.1, AAS05970.1, AAS05969.1
OG0000002	CCC26272.1	AAS04920.1
OG0000002	CCC27133.1	AAS04113.1
OG0000002	CCC26752.1	AAS03688.1
OG0000002	CCC28909.1	AAS06314.1
OG0000003	CCC25329.1	AAS04912.1
OG0000003	CCC28817.1	AAS06275.1
OG0000003	CCC25354.1, CCC25527.1	AAS06315.1, AAS06040.1
OG0000003	CCC28956.1	AAS02441.1, AAS04051.1
OG0000003	CCC28094.1, CCC28098.1, CCC25360.1	AAS06332.1
OG0000004	CCC27084.1	AAS04056.1, AAS06127.1, AAS03019.1, AAS06143.1, AAS02583.1, AAS04847.1, AAS05268.1, AAS05878.1, AAS03015.1, AAS04976.1, AAS05563.1, AAS04967.1, AAS05809.1, AAS04665.1, AAS05801.1, AAS04710.1, AAS03694.1, AAS05770.1, AAS04104.1, AAS06057.1, AAS03026.1, AAS03772.1, AAS02895.1, AAS03753.1, AAS05062.1, AAS02667.1, AAS06053.1, AAS03698.1, AAS05880.1, AAS05685.1, AAS04843.1, AAS03071.1, AAS04024.1, AAS06429.1
OG0000005	CCC26276.1	AAS04913.1
OG0000005	CCC26628.1, CCC26620.1	AAS06302.1, AAS04180.1
OG0000005	CCC25478.1	AAS05834.1
OG0000005	CCC28025.1, CCC28005.1	AAS04179.1
OG0000006	CCC27493.1, CCC26895.1	AAS06694.1
OG0000006	CCC26880.1, CCC26883.1	AAS04893.1, AAS03824.1
OG0000006	CCC28559.1	AAS03831.1
OG0000007	CCC25545.1	AAS06514.1
OG0000007	CCC25726.1	AAS06667.1
OG0000007	CCC25544.1	AAS06513.1
OG0000007	CCC28474.1, CCC25724.1, CCC25725.1	AAS06645.1
OG0000008	CCC28626.1	AAS04661.1, AAS03091.1, AAS02985.1, AAS04183.1, AAS03044.1, AAS06618.1, AAS04500.1, AAS04966.1, AAS04682.1, AAS04699.1, AAS04842.1, AAS03069.1, AAS04347.1, AAS04296.1, AAS04901.1, AAS06368.1, AAS04688.1, AAS04578.1, AAS03931.1, AAS02839.1
OG0000009	CCC25476.1, CCC25586.1, CCC26656.1	AAS05597.1
OG0000009	CCC27422.1, CCC25757.1	AAS04055.1
OG0000012	CCC25852.1	AAS02919.1
OG0000013	CCC26158.1	AAS06442.1
OG0000013	CCC28792.1	AAS05112.1
OG0000013	CCC28636.1	AAS06487.1, AAS03130.1, AAS03564.1
OG0000013	CCC28598.1	AAS02845.1, AAS03474.1, AAS02865.1
OG0000014	CCC26655.1	AAS06300.1, AAS06496.1, AAS02392.1, AAS05598.1
OG0000014	CCC25758.1	AAS06439.1, AAS04555.1, AAS04054.1
OG0000014	CCC25525.1	AAS03558.1
OG0000016	CCC28583.1	AAS02879.1
OG0000016	CCC25666.1	AAS06632.1
OG0000017	CCC28641.1	AAS02999.1, AAS03033.1, AAS04679.1, AAS04065.1, AAS03065.1, AAS03030.1, AAS04668.1, AAS04972.1, AAS04544.1, AAS03775.1, AAS04902.1, AAS04702.1, AAS06135.1, AAS04669.1, AAS02824.1
OG0000018	CCC26818.1	AAS06739.1
OG0000018	CCC25912.1	AAS05935.1, AAS06614.1, AAS04393.1, AAS06431.1, AAS02539.1, AAS03199.1, AAS06741.1, AAS06740.1, AAS06747.1, AAS02980.1
OG0000020	CCC26747.1, CCC27889.1, CCC28206.1, CCC26856.1, CCC28406.1, CCC26260.1	AAS04473.1
OG0000021	CCC26225.1	AAS04962.1, AAS06200.1, AAS06208.1, AAS05065.1, AAS04712.1, AAS02471.1, AAS04707.1, AAS06475.1, AAS03200.1, AAS03000.1, AAS04715.1, AAS04716.1, AAS03998.1
OG0000024	CCC26978.1	AAS03926.1
OG0000024	CCC28888.1	AAS02533.1
OG0000024	CCC25203.1	AAS06081.1
OG0000026	CCC26021.1	AAS03816.1, AAS06737.1, AAS02445.1, AAS06134.1, AAS03747.1, AAS03915.1, AAS04798.1, AAS02543.1, AAS04371.1, AAS04280.1, AAS03201.1
OG0000028	CCC26884.1, CCC26121.1, CCC26288.1, CCC27430.1, CCC27437.1	AAS03825.1
OG0000029	CCC28162.1	AAS04855.1, AAS04698.1, AAS04515.1, AAS05091.1, AAS03756.1, AAS02366.1, AAS03700.1
OG0000029	CCC26336.1	AAS04854.1
OG0000030	CCC28407.1, CCC28829.1, CCC27890.1, CCC26855.1	AAS04472.1
OG0000031	CCC25239.1	AAS06151.1, AAS02997.1, AAS04717.1, AAS06209.1, AAS04672.1, AAS05064.1, AAS04659.1, AAS03097.1, AAS04505.1, AAS06054.1, AAS04388.1
OG0000032	CCC25668.1	AAS06634.1
OG0000033	CCC25669.1	AAS06635.1
OG0000033	CCC25243.1	AAS04507.1, AAS03077.1, AAS04169.1, AAS02426.1, AAS04432.1
OG0000034	CCC26359.1, CCC26357.1	AAS04821.1
OG0000034	CCC26012.1	AAS05937.1
OG0000035	CCC28904.1	AAS06271.1, AAS04011.1
OG0000035	CCC28908.1	AAS06313.1
OG0000036	CCC26879.1, CCC26882.1, CCC26793.1, CCC26881.1	AAS03823.1
OG0000037	CCC26050.1	AAS06834.1
OG0000038	CCC26480.1	AAS02439.1
OG0000038	CCC25359.1	AAS06331.1
