Orthogroup	Mafric	Mbovis
OG0000000	CCC26334.1	ALV10415.1
OG0000000	CCC26932.1	ALV10932.1
OG0000000	CCC26490.1	ALV10556.1
OG0000000	CCC28451.1	ALV13179.1
OG0000000	CCC28470.1	ALV12324.1
OG0000000	CCC26152.1	ALV10259.1
OG0000000	CCC26153.1	ALV12895.1
OG0000000	CCC28593.1	ALV12422.1
OG0000000	CCC27245.1	ALV11158.1
OG0000000	CCC27723.1	ALV11641.1
OG0000000	CCC27572.1, CCC27575.1	ALV11501.1
OG0000000	CCC26544.1	ALV10609.1
OG0000000	CCC26546.1	ALV10607.1
OG0000000	CCC26535.1	ALV10596.1
OG0000000	CCC28429.1	ALV13177.1
OG0000000	CCC27480.1	ALV11418.1
OG0000000	CCC25184.1	ALV09382.1
OG0000000	CCC27928.1	ALV11823.1
OG0000000	CCC28677.1	ALV12498.1
OG0000000	CCC27678.1	ALV11599.1
OG0000000	CCC25953.1	ALV10080.1
OG0000000	CCC25914.1	ALV10047.1
OG0000000	CCC26910.1	ALV10910.1, ALV10866.1
OG0000000	CCC28589.1	ALV12419.1
OG0000000	CCC25915.1	ALV10049.1
OG0000000	CCC26421.1	ALV10490.1
OG0000000	CCC25371.1	ALV09554.1
OG0000000	CCC25657.1	ALV09807.1
OG0000000	CCC28672.1	ALV12493.1
OG0000000	CCC26172.1	ALV10274.1
OG0000000	CCC26062.1	ALV10177.1
OG0000000	CCC26059.1	ALV10174.1
OG0000001	CCC28213.1	ALV12068.1
OG0000001	CCC28214.1	ALV12069.1
OG0000001	CCC26900.1	ALV10901.1
OG0000001	CCC25996.1	ALV10119.1
OG0000001	CCC25462.1	ALV09634.1
OG0000001	CCC27843.1	ALV11742.1
OG0000001	CCC26122.1	ALV10232.1
OG0000001	CCC26647.1	ALV12953.1
OG0000001	CCC27010.1	ALV11000.1
OG0000001	CCC28428.1	ALV12290.1
OG0000001	CCC25959.1	ALV10086.1
OG0000001	CCC26842.1	ALV10851.1
OG0000001	CCC28238.1	ALV12091.1
OG0000001	CCC27439.1	ALV11379.1
OG0000001	CCC28639.1	ALV12464.1
OG0000001	CCC25379.1	ALV09605.1
OG0000001	CCC25838.1	ALV09977.1
OG0000001	CCC25428.1	ALV12292.1
OG0000002	CCC26272.1	ALV10365.1
OG0000002	CCC26626.1	ALV10666.1
OG0000002	CCC28015.1	ALV11900.1
OG0000002	CCC28008.1	ALV11895.1
OG0000002	CCC28022.1	ALV13113.1
OG0000002	CCC27133.1	ALV11114.1
OG0000002	CCC26752.1	ALV10773.1
OG0000002	CCC28007.1	ALV11894.1
OG0000002	CCC28006.1	ALV11893.1
OG0000002	CCC28009.1	ALV11896.1
OG0000002	CCC28909.1	ALV12689.1
OG0000003	CCC25329.1	ALV09513.1
OG0000003	CCC26481.1	ALV10548.1
OG0000003	CCC25354.1	ALV09539.1
OG0000003	CCC25527.1	ALV09697.1
OG0000003	CCC28094.1	ALV13124.1
OG0000003	CCC28098.1	ALV11973.1
OG0000003	CCC25360.1	ALV09545.1
OG0000004	CCC27084.1	ALV13001.1
OG0000005	CCC26276.1	ALV10367.1
OG0000005	CCC26628.1	ALV10668.1
OG0000005	CCC26620.1	ALV10661.1
OG0000005	CCC28016.1	ALV11901.1
OG0000005	CCC28910.1	ALV12690.1
OG0000005	CCC25478.1	ALV09649.1
OG0000005	CCC28025.1	ALV11908.1
OG0000005	CCC28005.1	ALV11892.1
OG0000006	CCC27189.1	ALV11165.1
OG0000006	CCC26895.1	ALV10896.1
OG0000006	CCC26286.1	ALV12916.1
OG0000006	CCC26880.1	ALV10881.1
OG0000006	CCC26883.1	ALV10883.1
OG0000006	CCC28559.1	ALV12395.1
OG0000007	CCC25545.1	ALV09713.1
OG0000007	CCC25726.1	ALV09870.1
OG0000007	CCC25544.1	ALV12813.1
OG0000007	CCC28474.1	ALV12328.1
OG0000007	CCC25724.1	ALV09868.1
OG0000007	CCC25725.1	ALV09869.1
OG0000008	CCC28626.1	ALV12452.1
OG0000009	CCC25524.1	ALV09694.1
OG0000009	CCC25586.1	ALV09745.1
OG0000009	CCC26656.1	ALV10694.1
OG0000009	CCC27422.1	ALV11372.1
OG0000009	CCC25757.1	ALV09901.1
OG0000011	CCC26216.1	ALV10316.1
OG0000011	CCC26237.1	ALV11023.1, ALV10333.1
OG0000011	CCC26671.1	ALV12957.1
OG0000012	CCC25852.1	ALV09992.1
OG0000013	CCC26158.1	ALV12896.1
OG0000013	CCC28792.1	ALV12592.1
OG0000013	CCC28636.1	ALV12462.1
OG0000013	CCC28598.1	ALV13201.1
OG0000014	CCC26655.1	ALV12954.1
OG0000014	CCC25758.1	ALV12843.1
OG0000014	CCC25525.1	ALV09695.1
OG0000016	CCC25240.1	ALV09429.1
OG0000016	CCC28583.1	ALV12413.1
OG0000016	CCC25666.1	ALV09815.1
OG0000017	CCC28641.1	ALV12466.1
OG0000018	CCC26818.1	ALV10831.1
OG0000018	CCC25912.1	ALV10045.1
OG0000019	CCC27740.1	ALV13126.1
OG0000019	CCC27597.1, CCC26131.1, CCC26290.1	ALV12917.1, ALV11524.1
OG0000019	CCC28100.1	ALV10240.1
OG0000020	CCC26856.1, CCC28406.1	ALV11787.1
OG0000020	CCC26260.1	ALV09980.1
OG0000021	CCC26225.1	ALV10322.1
OG0000024	CCC26978.1	ALV10975.1
OG0000024	CCC28888.1	ALV12672.1
OG0000024	CCC25203.1	ALV09398.1
OG0000025	CCC27960.1	ALV11854.1
OG0000025	CCC27867.1	ALV11765.1
OG0000025	CCC28054.1	ALV11935.1
OG0000025	CCC25684.1	ALV09831.1
OG0000025	CCC28912.1	ALV12692.1
