Orthogroup	Mbovis	Mafric
OG0000000	ALV10415.1	CCC26334.1
OG0000000	ALV10932.1	CCC26932.1
OG0000000	ALV10556.1	CCC26490.1
OG0000000	ALV13179.1	CCC28451.1
OG0000000	ALV12324.1	CCC28470.1
OG0000000	ALV10259.1	CCC26152.1
OG0000000	ALV12895.1	CCC26153.1
OG0000000	ALV12422.1	CCC28593.1
OG0000000	ALV11158.1	CCC27245.1
OG0000000	ALV11641.1	CCC27723.1
OG0000000	ALV11501.1	CCC27572.1, CCC27575.1
OG0000000	ALV10609.1	CCC26544.1
OG0000000	ALV10607.1	CCC26546.1
OG0000000	ALV10596.1	CCC26535.1
OG0000000	ALV13177.1	CCC28429.1
OG0000000	ALV11418.1	CCC27480.1
OG0000000	ALV09382.1	CCC25184.1
OG0000000	ALV11823.1	CCC27928.1
OG0000000	ALV12498.1	CCC28677.1
OG0000000	ALV11599.1	CCC27678.1
OG0000000	ALV10080.1	CCC25953.1
OG0000000	ALV10047.1	CCC25914.1
OG0000000	ALV10910.1, ALV10866.1	CCC26910.1
OG0000000	ALV12419.1	CCC28589.1
OG0000000	ALV10049.1	CCC25915.1
OG0000000	ALV10490.1	CCC26421.1
OG0000000	ALV09554.1	CCC25371.1
OG0000000	ALV09807.1	CCC25657.1
OG0000000	ALV12493.1	CCC28672.1
OG0000000	ALV10274.1	CCC26172.1
OG0000000	ALV10177.1	CCC26062.1
OG0000000	ALV10174.1	CCC26059.1
OG0000001	ALV12068.1	CCC28213.1
OG0000001	ALV12069.1	CCC28214.1
OG0000001	ALV10901.1	CCC26900.1
OG0000001	ALV10119.1	CCC25996.1
OG0000001	ALV09634.1	CCC25462.1
OG0000001	ALV11742.1	CCC27843.1
OG0000001	ALV10232.1	CCC26122.1
OG0000001	ALV12953.1	CCC26647.1
OG0000001	ALV11000.1	CCC27010.1
OG0000001	ALV12290.1	CCC28428.1
OG0000001	ALV10086.1	CCC25959.1
OG0000001	ALV10851.1	CCC26842.1
OG0000001	ALV12091.1	CCC28238.1
OG0000001	ALV11379.1	CCC27439.1
OG0000001	ALV12464.1	CCC28639.1
OG0000001	ALV09605.1	CCC25379.1
OG0000001	ALV09977.1	CCC25838.1
OG0000001	ALV12292.1	CCC25428.1
OG0000002	ALV10365.1	CCC26272.1
OG0000002	ALV10666.1	CCC26626.1
OG0000002	ALV11900.1	CCC28015.1
OG0000002	ALV11895.1	CCC28008.1
OG0000002	ALV13113.1	CCC28022.1
OG0000002	ALV11114.1	CCC27133.1
OG0000002	ALV10773.1	CCC26752.1
OG0000002	ALV11894.1	CCC28007.1
OG0000002	ALV11893.1	CCC28006.1
OG0000002	ALV11896.1	CCC28009.1
OG0000002	ALV12689.1	CCC28909.1
OG0000003	ALV09513.1	CCC25329.1
OG0000003	ALV10548.1	CCC26481.1
OG0000003	ALV09539.1	CCC25354.1
OG0000003	ALV09697.1	CCC25527.1
OG0000003	ALV13124.1	CCC28094.1
OG0000003	ALV11973.1	CCC28098.1
OG0000003	ALV09545.1	CCC25360.1
OG0000004	ALV13001.1	CCC27084.1
OG0000005	ALV10367.1	CCC26276.1
OG0000005	ALV10668.1	CCC26628.1
OG0000005	ALV10661.1	CCC26620.1
OG0000005	ALV11901.1	CCC28016.1
OG0000005	ALV12690.1	CCC28910.1
OG0000005	ALV09649.1	CCC25478.1
OG0000005	ALV11908.1	CCC28025.1
OG0000005	ALV11892.1	CCC28005.1
OG0000006	ALV11165.1	CCC27189.1
OG0000006	ALV10896.1	CCC26895.1
OG0000006	ALV12916.1	CCC26286.1
OG0000006	ALV10881.1	CCC26880.1
OG0000006	ALV10883.1	CCC26883.1
OG0000006	ALV12395.1	CCC28559.1
OG0000007	ALV09713.1	CCC25545.1
OG0000007	ALV09870.1	CCC25726.1
OG0000007	ALV12813.1	CCC25544.1
OG0000007	ALV12328.1	CCC28474.1
OG0000007	ALV09868.1	CCC25724.1
OG0000007	ALV09869.1	CCC25725.1
OG0000008	ALV12452.1	CCC28626.1
OG0000009	ALV09694.1	CCC25524.1
OG0000009	ALV09745.1	CCC25586.1
OG0000009	ALV10694.1	CCC26656.1
OG0000009	ALV11372.1	CCC27422.1
OG0000009	ALV09901.1	CCC25757.1
OG0000011	ALV10316.1	CCC26216.1
OG0000011	ALV11023.1, ALV10333.1	CCC26237.1
OG0000011	ALV12957.1	CCC26671.1
OG0000012	ALV09992.1	CCC25852.1
OG0000013	ALV12896.1	CCC26158.1
OG0000013	ALV12592.1	CCC28792.1
OG0000013	ALV12462.1	CCC28636.1
OG0000013	ALV13201.1	CCC28598.1
OG0000014	ALV12954.1	CCC26655.1
OG0000014	ALV12843.1	CCC25758.1
OG0000014	ALV09695.1	CCC25525.1
OG0000016	ALV09429.1	CCC25240.1
OG0000016	ALV12413.1	CCC28583.1
OG0000016	ALV09815.1	CCC25666.1
OG0000017	ALV12466.1	CCC28641.1
OG0000018	ALV10831.1	CCC26818.1
OG0000018	ALV10045.1	CCC25912.1
OG0000019	ALV13126.1	CCC27740.1
OG0000019	ALV12917.1, ALV11524.1	CCC27597.1, CCC26131.1, CCC26290.1
OG0000019	ALV10240.1	CCC28100.1
OG0000020	ALV11787.1	CCC26856.1, CCC28406.1
OG0000020	ALV09980.1	CCC26260.1
OG0000021	ALV10322.1	CCC26225.1
OG0000024	ALV10975.1	CCC26978.1
OG0000024	ALV12672.1	CCC28888.1
OG0000024	ALV09398.1	CCC25203.1
OG0000025	ALV11854.1	CCC27960.1
OG0000025	ALV11765.1	CCC27867.1
OG0000025	ALV11935.1	CCC28054.1
OG0000025	ALV09831.1	CCC25684.1
OG0000025	ALV12692.1	CCC28912.1
OG0000026	ALV10141.1	CCC26021.1
OG0000027	ALV11378.1, ALV10885.1	CCC26885.1
OG0000027	ALV10230.1	CCC26120.1
OG0000027	ALV10376.1	CCC26289.1
OG0000028	ALV10884.1	CCC26884.1
OG0000028	ALV10231.1	CCC26121.1
OG0000028	ALV10375.1	CCC26288.1
OG0000029	ALV12026.1	CCC28162.1
OG0000029	ALV10417.1	CCC26336.1
OG0000030	ALV09981.1	CCC28829.1
OG0000031	ALV09428.1	CCC25239.1
OG0000032	ALV09431.1	CCC25242.1
OG0000032	ALV09817.1	CCC25668.1
OG0000033	ALV09818.1	CCC25669.1
OG0000033	ALV09432.1	CCC25243.1
OG0000034	ALV10434.1	CCC26359.1, CCC26357.1
OG0000034	ALV10843.1	CCC26832.1
OG0000035	ALV12911.1	CCC26273.1
OG0000035	ALV12686.1	CCC28904.1
OG0000035	ALV12688.1	CCC28908.1
OG0000036	ALV12983.1	CCC26879.1
OG0000036	ALV12984.1	CCC26882.1
OG0000036	ALV10809.1	CCC26793.1
OG0000036	ALV10882.1	CCC26881.1
OG0000037	ALV09367.1	CCC25167.1
OG0000037	ALV10166.1	CCC26050.1
OG0000037	ALV09376.1	CCC25178.1
OG0000038	ALV10547.1	CCC26480.1
OG0000038	ALV13125.1	CCC28099.1
OG0000038	ALV09544.1	CCC25359.1
OG0000039	ALV11764.1	CCC27866.1
OG0000039	ALV11934.1	CCC28053.1
OG0000039	ALV12691.1	CCC28911.1
OG0000039	ALV09832.1	CCC25685.1
OG0000040	ALV10130.1	CCC26007.1
OG0000041	ALV10553.1	CCC26487.1
OG0000042	ALV09639.1	CCC25467.1
OG0000043	ALV11499.1	CCC27573.1
OG0000043	ALV10521.1	CCC26454.1
