Orthogroup	Mmicro	Mbovis
OG0000000	AMC58818.1	ALV10415.1
OG0000000	AMC59472.1	ALV10932.1
OG0000000	AMC59257.1, AMC58652.1	ALV10281.1
OG0000000	AMC58989.1	ALV10556.1
OG0000000	AMC61141.1	ALV13179.1
OG0000000	AMC61163.1	ALV12324.1
OG0000000	AMC58625.1	ALV10259.1
OG0000000	AMC58626.1	ALV12895.1
OG0000000	AMC61301.1	ALV12422.1
OG0000000	AMC61295.1, AMC61310.1	ALV12424.1
OG0000000	AMC59828.1, AMC59754.1	ALV11158.1
OG0000000	AMC60347.1	ALV11641.1
OG0000000	AMC60180.1, AMC60188.1	ALV11501.1
OG0000000	AMC59051.1, AMC59054.1	ALV10607.1
OG0000000	AMC59037.1	ALV10596.1
OG0000000	AMC60085.1	ALV13177.1, ALV11418.1
OG0000000	AMC57554.1	ALV09382.1
OG0000000	AMC60572.1	ALV11823.1
OG0000000	AMC61402.1	ALV12498.1
OG0000000	AMC60299.1	ALV11599.1
OG0000000	AMC58396.1	ALV10080.1
OG0000000	AMC60453.1	ALV11719.1
OG0000000	AMC58354.1	ALV10047.1
OG0000000	AMC59395.1	ALV10910.1, ALV10866.1
OG0000000	AMC61292.1	ALV12419.1
OG0000000	AMC58357.1	ALV10049.1
OG0000000	AMC58911.1	ALV10490.1
OG0000000	AMC58021.1	ALV09765.1
OG0000000	AMC57766.1	ALV09554.1
OG0000000	AMC58077.1	ALV09807.1
OG0000000	AMC57570.1	ALV09393.1
OG0000000	AMC61397.1	ALV12493.1
OG0000000	AMC58646.1	ALV10274.1
OG0000000	AMC58520.1	ALV10177.1
OG0000000	AMC60324.1, AMC58517.1	ALV10174.1
OG0000001	AMC60882.1	ALV12068.1
OG0000001	AMC60883.1	ALV12069.1
OG0000001	AMC59438.1	ALV10901.1
OG0000001	AMC58447.1	ALV10119.1
OG0000001	AMC57862.1	ALV09634.1
OG0000001	AMC60480.1	ALV11742.1
OG0000001	AMC58595.1	ALV10232.1
OG0000001	AMC59163.1	ALV12953.1
OG0000001	AMC59557.1	ALV11000.1
OG0000001	AMC61119.1	ALV12290.1
OG0000001	AMC58701.1	ALV10320.1
OG0000001	AMC58403.1	ALV10086.1
OG0000001	AMC60908.1	ALV12091.1
OG0000001	AMC61336.1	ALV12442.1
OG0000001	AMC60038.1	ALV11379.1
OG0000001	AMC61361.1	ALV12464.1
OG0000001	AMC57827.1, AMC57826.1, AMC57775.1	ALV09605.1
OG0000001	AMC58269.1	ALV09977.1
OG0000001	AMC57921.1	ALV12810.1
OG0000001	AMC61123.1	ALV12292.1
OG0000002	AMC58752.1	ALV10365.1
OG0000002	AMC59141.1	ALV10666.1
OG0000002	AMC60667.1	ALV11900.1
OG0000002	AMC60659.1	ALV11895.1
OG0000002	AMC60676.1	ALV13113.1
OG0000002	AMC59270.1	ALV10772.1
OG0000002	AMC59696.1	ALV11114.1
OG0000002	AMC59268.1	ALV10771.1
OG0000002	AMC59272.1	ALV10773.1
OG0000002	AMC60657.1	ALV11894.1
OG0000002	AMC60655.1	ALV11893.1
OG0000002	AMC60660.1	ALV11896.1
OG0000002	AMC61650.1	ALV12689.1
OG0000003	AMC57716.1	ALV09513.1
OG0000003	AMC58980.1	ALV10548.1
OG0000003	AMC57749.1	ALV09539.1
OG0000003	AMC57932.1	ALV09697.1
OG0000003	AMC60758.1	ALV13124.1, ALV11973.1
OG0000003	AMC57755.1	ALV09545.1
OG0000004	AMC59643.1	ALV13001.1
OG0000005	AMC58756.1	ALV10367.1
OG0000005	AMC59143.1	ALV10668.1
OG0000005	AMC59131.1	ALV10661.1
OG0000005	AMC60668.1	ALV11901.1
OG0000005	AMC61651.1	ALV12690.1
OG0000005	AMC57882.1	ALV09649.1
OG0000005	AMC60679.1	ALV11908.1
OG0000005	AMC60654.1	ALV11892.1
OG0000006	AMC59762.1	ALV11165.1
OG0000006	AMC59450.1	ALV10896.1
OG0000006	AMC59415.1	ALV10881.1
OG0000006	AMC59418.1	ALV10883.1
OG0000006	AMC61262.1	ALV12395.1
OG0000007	AMC57950.1	ALV09713.1
OG0000007	AMC58147.1	ALV09870.1
OG0000007	AMC57949.1	ALV12813.1
OG0000007	AMC61169.1	ALV12328.1
OG0000007	AMC58145.1	ALV09868.1
OG0000007	AMC58146.1	ALV09869.1
OG0000008	AMC61348.1	ALV12452.1
OG0000009	AMC57929.1	ALV09694.1
OG0000009	AMC57994.1	ALV09745.1
OG0000009	AMC59173.1	ALV10694.1
OG0000009	AMC60021.1	ALV11372.1
OG0000009	AMC58182.1	ALV09901.1
OG0000011	AMC58693.1	ALV10316.1
OG0000011	AMC58715.1, AMC59588.1	ALV11023.1, ALV10333.1
OG0000011	AMC59188.1	ALV12957.1
OG0000011	AMC57538.1	ALV09369.1, ALV13193.1
OG0000012	AMC58284.1	ALV09992.1
OG0000012	AMC57680.1	ALV09479.1
OG0000013	AMC58632.1	ALV12896.1
OG0000013	AMC61523.1	ALV12592.1
OG0000013	AMC61358.1	ALV12462.1
OG0000013	AMC61318.1	ALV13201.1
OG0000014	AMC59172.1	ALV12954.1
OG0000014	AMC58183.1	ALV12843.1
OG0000014	AMC57930.1	ALV09695.1
OG0000016	AMC57617.1	ALV09429.1
OG0000016	AMC61286.1	ALV12413.1
OG0000016	AMC58086.1	ALV09815.1
OG0000017	AMC61363.1	ALV12466.1
OG0000018	AMC59347.1	ALV10831.1
OG0000018	AMC58352.1	ALV10045.1
OG0000019	AMC60858.1, AMC60377.1	ALV13126.1
OG0000019	AMC60211.1	ALV12917.1, ALV11524.1
OG0000019	AMC58769.1, AMC58602.1	ALV10240.1
OG0000020	AMC60936.1, AMC58497.1, AMC60529.1, AMC59133.1, AMC60874.1, AMC59375.1, AMC58270.1, AMC60697.1	ALV11787.1, ALV09980.1
OG0000021	AMC58703.1	ALV10322.1
OG0000024	AMC59519.1	ALV10975.1
OG0000024	AMC61625.1	ALV12672.1
OG0000024	AMC57576.1	ALV09398.1
OG0000025	AMC60607.1	ALV11854.1
OG0000025	AMC60506.1	ALV11765.1
OG0000025	AMC60714.1	ALV11935.1
OG0000025	AMC58105.1	ALV09831.1
OG0000025	AMC61653.1	ALV12692.1
OG0000026	AMC58475.1	ALV10141.1
OG0000027	AMC60028.1	ALV11378.1, ALV10885.1
OG0000027	AMC58593.1	ALV10230.1
OG0000027	AMC58768.1	ALV10376.1
OG0000028	AMC59419.1	ALV10884.1
OG0000028	AMC58594.1	ALV10231.1
OG0000028	AMC58767.1	ALV10375.1
OG0000029	AMC60824.1	ALV12026.1
OG0000029	AMC58820.1	ALV10417.1
OG0000030	AMC59376.1	ALV11788.1
OG0000030	AMC58271.1	ALV09981.1
OG0000031	AMC57616.1	ALV09428.1
OG0000032	AMC57619.1	ALV09431.1
OG0000032	AMC58088.1	ALV09817.1
