Orthogroup	Mafric	Mmicro
OG0000000	CCC26334.1	AMC58818.1
OG0000000	CCC26932.1	AMC59472.1
OG0000000	CCC26490.1	AMC58989.1
OG0000000	CCC28451.1	AMC61141.1
OG0000000	CCC28470.1	AMC61163.1
OG0000000	CCC26152.1	AMC58625.1
OG0000000	CCC26153.1	AMC58626.1
OG0000000	CCC28593.1	AMC61301.1
OG0000000	CCC27245.1	AMC59828.1, AMC59754.1
OG0000000	CCC27723.1	AMC60347.1
OG0000000	CCC27572.1	AMC60180.1
OG0000000	CCC27575.1	AMC60188.1
OG0000000	CCC26546.1	AMC59051.1, AMC59054.1
OG0000000	CCC26535.1	AMC59037.1
OG0000000	CCC28429.1, CCC27480.1	AMC60085.1
OG0000000	CCC25184.1	AMC57554.1
OG0000000	CCC27928.1	AMC60572.1
OG0000000	CCC28677.1	AMC61402.1
OG0000000	CCC27678.1	AMC60299.1
OG0000000	CCC25953.1	AMC58396.1
OG0000000	CCC25914.1	AMC58354.1
OG0000000	CCC26910.1	AMC59395.1
OG0000000	CCC28589.1	AMC61292.1
OG0000000	CCC25915.1	AMC58357.1
OG0000000	CCC26421.1	AMC58911.1
OG0000000	CCC25371.1	AMC57766.1
OG0000000	CCC25657.1	AMC58077.1
OG0000000	CCC28672.1	AMC61397.1
OG0000000	CCC26172.1	AMC58646.1
OG0000000	CCC25829.1	AMC58259.1, AMC57747.1, AMC57601.1, AMC57745.1, AMC57743.1, AMC58258.1
OG0000000	CCC26062.1	AMC58520.1
OG0000000	CCC26059.1	AMC60324.1, AMC58517.1
OG0000001	CCC28213.1	AMC60882.1
OG0000001	CCC28214.1	AMC60883.1
OG0000001	CCC26900.1	AMC59438.1
OG0000001	CCC25996.1	AMC58447.1
OG0000001	CCC25462.1	AMC57862.1
OG0000001	CCC27843.1	AMC60480.1
OG0000001	CCC26122.1	AMC58595.1
OG0000001	CCC28202.1	AMC60869.1
OG0000001	CCC27438.1, CCC27435.1	AMC60037.1
OG0000001	CCC26647.1	AMC59163.1
OG0000001	CCC27011.1	AMC59558.1
OG0000001	CCC27010.1	AMC59557.1
OG0000001	CCC28428.1	AMC61119.1
OG0000001	CCC25959.1	AMC58403.1
OG0000001	CCC28238.1	AMC60908.1
OG0000001	CCC27439.1	AMC60038.1
OG0000001	CCC28639.1	AMC61361.1
OG0000001	CCC25379.1	AMC57827.1, AMC57826.1, AMC57775.1
OG0000001	CCC25838.1	AMC58269.1
OG0000001	CCC25428.1	AMC61123.1
OG0000002	CCC26272.1	AMC60666.1, AMC59140.1, AMC58752.1
OG0000002	CCC26626.1	AMC59141.1
OG0000002	CCC28015.1	AMC60667.1
OG0000002	CCC28008.1	AMC60659.1
OG0000002	CCC28022.1	AMC60676.1
OG0000002	CCC27133.1	AMC59696.1
OG0000002	CCC26752.1	AMC59272.1
OG0000002	CCC28007.1	AMC60657.1
OG0000002	CCC28006.1	AMC60655.1
OG0000002	CCC28009.1	AMC60660.1
OG0000002	CCC28909.1	AMC61650.1
OG0000003	CCC25329.1	AMC57716.1
OG0000003	CCC26481.1	AMC58980.1
OG0000003	CCC25354.1	AMC57749.1
OG0000003	CCC25527.1	AMC57932.1
OG0000003	CCC28094.1, CCC28098.1	AMC60758.1
OG0000003	CCC25360.1	AMC57755.1
OG0000004	CCC27084.1	AMC59643.1
OG0000005	CCC26276.1	AMC58756.1
OG0000005	CCC26628.1	AMC59143.1
OG0000005	CCC26620.1	AMC59131.1
OG0000005	CCC28016.1	AMC60668.1
OG0000005	CCC28910.1	AMC61651.1
OG0000005	CCC25478.1	AMC57882.1
OG0000005	CCC28025.1	AMC60679.1
OG0000005	CCC28005.1	AMC60654.1
OG0000006	CCC27189.1	AMC59762.1
OG0000006	CCC27493.1, CCC26895.1	AMC59450.1
OG0000006	CCC26880.1	AMC59415.1
OG0000006	CCC26883.1	AMC59418.1
OG0000006	CCC28559.1	AMC61262.1
OG0000007	CCC25545.1	AMC57950.1
OG0000007	CCC25726.1	AMC58147.1
OG0000007	CCC25544.1	AMC57949.1
OG0000007	CCC28474.1	AMC61169.1
OG0000007	CCC25724.1	AMC58145.1
OG0000007	CCC25725.1	AMC58146.1
OG0000008	CCC28626.1	AMC61348.1
OG0000009	CCC25524.1	AMC57929.1
OG0000009	CCC25476.1	AMC57880.1
OG0000009	CCC25586.1	AMC57994.1
OG0000009	CCC26656.1	AMC59173.1
OG0000009	CCC27422.1	AMC60021.1
OG0000009	CCC25757.1	AMC58182.1
OG0000011	CCC26216.1	AMC58693.1
OG0000011	CCC26237.1	AMC58715.1, AMC59588.1
OG0000011	CCC28551.1	AMC61254.1
OG0000011	CCC26671.1	AMC59188.1
OG0000012	CCC25852.1	AMC58284.1
OG0000013	CCC26158.1	AMC58632.1
OG0000013	CCC28792.1	AMC61523.1
OG0000013	CCC28636.1	AMC61358.1
OG0000013	CCC28598.1	AMC61318.1
