Orthogroup	Mmicro	Mafric
OG0000000	AMC58818.1	CCC26334.1
OG0000000	AMC59472.1	CCC26932.1
OG0000000	AMC58989.1	CCC26490.1
OG0000000	AMC61141.1	CCC28451.1
OG0000000	AMC61163.1	CCC28470.1
OG0000000	AMC58625.1	CCC26152.1
OG0000000	AMC58626.1	CCC26153.1
OG0000000	AMC61301.1	CCC28593.1
OG0000000	AMC59828.1, AMC59754.1	CCC27245.1
OG0000000	AMC60347.1	CCC27723.1
OG0000000	AMC60180.1	CCC27572.1
OG0000000	AMC60188.1	CCC27575.1
OG0000000	AMC59051.1, AMC59054.1	CCC26546.1
OG0000000	AMC59037.1	CCC26535.1
OG0000000	AMC60085.1	CCC28429.1, CCC27480.1
OG0000000	AMC57554.1	CCC25184.1
OG0000000	AMC60572.1	CCC27928.1
OG0000000	AMC61402.1	CCC28677.1
OG0000000	AMC60299.1	CCC27678.1
OG0000000	AMC58396.1	CCC25953.1
OG0000000	AMC58354.1	CCC25914.1
OG0000000	AMC59395.1	CCC26910.1
OG0000000	AMC61292.1	CCC28589.1
OG0000000	AMC58357.1	CCC25915.1
OG0000000	AMC58911.1	CCC26421.1
OG0000000	AMC57766.1	CCC25371.1
OG0000000	AMC58077.1	CCC25657.1
OG0000000	AMC61397.1	CCC28672.1
OG0000000	AMC58646.1	CCC26172.1
OG0000000	AMC58259.1, AMC57747.1, AMC57601.1, AMC57745.1, AMC57743.1, AMC58258.1	CCC25829.1
OG0000000	AMC58520.1	CCC26062.1
OG0000000	AMC60324.1, AMC58517.1	CCC26059.1
OG0000001	AMC60882.1	CCC28213.1
OG0000001	AMC60883.1	CCC28214.1
OG0000001	AMC59438.1	CCC26900.1
OG0000001	AMC58447.1	CCC25996.1
OG0000001	AMC57862.1	CCC25462.1
OG0000001	AMC60480.1	CCC27843.1
OG0000001	AMC58595.1	CCC26122.1
OG0000001	AMC60869.1	CCC28202.1
OG0000001	AMC60037.1	CCC27438.1, CCC27435.1
OG0000001	AMC59163.1	CCC26647.1
OG0000001	AMC59558.1	CCC27011.1
OG0000001	AMC59557.1	CCC27010.1
OG0000001	AMC61119.1	CCC28428.1
OG0000001	AMC58403.1	CCC25959.1
OG0000001	AMC60908.1	CCC28238.1
OG0000001	AMC60038.1	CCC27439.1
OG0000001	AMC61361.1	CCC28639.1
OG0000001	AMC57827.1, AMC57826.1, AMC57775.1	CCC25379.1
OG0000001	AMC58269.1	CCC25838.1
OG0000001	AMC61123.1	CCC25428.1
OG0000002	AMC60666.1, AMC59140.1, AMC58752.1	CCC26272.1
OG0000002	AMC59141.1	CCC26626.1
OG0000002	AMC60667.1	CCC28015.1
OG0000002	AMC60659.1	CCC28008.1
OG0000002	AMC60676.1	CCC28022.1
OG0000002	AMC59696.1	CCC27133.1
OG0000002	AMC59272.1	CCC26752.1
OG0000002	AMC60657.1	CCC28007.1
OG0000002	AMC60655.1	CCC28006.1
OG0000002	AMC60660.1	CCC28009.1
OG0000002	AMC61650.1	CCC28909.1
OG0000003	AMC57716.1	CCC25329.1
OG0000003	AMC58980.1	CCC26481.1
OG0000003	AMC57749.1	CCC25354.1
OG0000003	AMC57932.1	CCC25527.1
OG0000003	AMC60758.1	CCC28094.1, CCC28098.1
OG0000003	AMC57755.1	CCC25360.1
OG0000004	AMC59643.1	CCC27084.1
OG0000005	AMC58756.1	CCC26276.1
OG0000005	AMC59143.1	CCC26628.1
OG0000005	AMC59131.1	CCC26620.1
OG0000005	AMC60668.1	CCC28016.1
OG0000005	AMC61651.1	CCC28910.1
OG0000005	AMC57882.1	CCC25478.1
OG0000005	AMC60679.1	CCC28025.1
OG0000005	AMC60654.1	CCC28005.1
OG0000006	AMC59762.1	CCC27189.1
OG0000006	AMC59450.1	CCC27493.1, CCC26895.1
OG0000006	AMC59415.1	CCC26880.1
OG0000006	AMC59418.1	CCC26883.1
OG0000006	AMC61262.1	CCC28559.1
OG0000007	AMC57950.1	CCC25545.1
OG0000007	AMC58147.1	CCC25726.1
OG0000007	AMC57949.1	CCC25544.1
OG0000007	AMC61169.1	CCC28474.1
OG0000007	AMC58145.1	CCC25724.1
OG0000007	AMC58146.1	CCC25725.1
OG0000008	AMC61348.1	CCC28626.1
OG0000009	AMC57929.1	CCC25524.1
OG0000009	AMC57880.1	CCC25476.1
OG0000009	AMC57994.1	CCC25586.1
OG0000009	AMC59173.1	CCC26656.1
OG0000009	AMC60021.1	CCC27422.1
OG0000009	AMC58182.1	CCC25757.1
OG0000011	AMC58693.1	CCC26216.1
OG0000011	AMC58715.1, AMC59588.1	CCC26237.1
OG0000011	AMC61254.1	CCC28551.1
OG0000011	AMC59188.1	CCC26671.1
OG0000012	AMC58284.1	CCC25852.1
OG0000013	AMC58632.1	CCC26158.1
OG0000013	AMC61523.1	CCC28792.1
OG0000013	AMC61358.1	CCC28636.1
OG0000013	AMC61318.1	CCC28598.1
OG0000014	AMC59172.1	CCC26655.1
OG0000014	AMC58183.1	CCC25758.1
OG0000014	AMC57930.1	CCC25525.1
OG0000016	AMC57617.1	CCC25240.1
OG0000016	AMC61286.1	CCC28583.1
OG0000016	AMC58086.1	CCC25666.1
OG0000017	AMC61363.1	CCC28641.1
OG0000018	AMC59347.1	CCC26818.1
OG0000018	AMC58352.1	CCC25912.1
OG0000019	AMC60858.1, AMC60377.1	CCC27740.1
OG0000019	AMC60211.1	CCC27597.1, CCC26131.1, CCC26290.1
OG0000019	AMC58769.1, AMC58602.1	CCC28100.1
OG0000020	AMC60936.1, AMC58497.1, AMC60529.1, AMC59133.1, AMC60874.1, AMC59375.1, AMC58270.1, AMC60697.1	CCC26747.1, CCC27889.1, CCC28206.1, CCC26856.1, CCC28406.1, CCC26260.1
