Orthogroup	Mmicro	Mavium
OG0000001	AMC60882.1, AMC60883.1	AAS05732.1, AAS05733.1
OG0000001	AMC59438.1	AAS03835.1, AAS03469.1
OG0000001	AMC58447.1, AMC57862.1	AAS03838.1
OG0000001	AMC60480.1, AMC58595.1	AAS04892.1
OG0000001	AMC60869.1, AMC60037.1	AAS04453.1
OG0000001	AMC59163.1, AMC59558.1, AMC59557.1, AMC61119.1, AMC58701.1, AMC58403.1, AMC60908.1, AMC61336.1, AMC60039.1, AMC60038.1, AMC61361.1, AMC57827.1, AMC57826.1, AMC57775.1, AMC58269.1, AMC57921.1	AAS06489.1
OG0000001	AMC61123.1	AAS03472.1, AAS05244.1, AAS05970.1, AAS05969.1
OG0000001	AMC59435.1	AAS03833.1, AAS03992.1
OG0000001	AMC59436.1	AAS02759.1, AAS03993.1
OG0000002	AMC60666.1, AMC59140.1, AMC58752.1	AAS04920.1
OG0000002	AMC59696.1	AAS04113.1
OG0000002	AMC59268.1	AAS03687.1
OG0000002	AMC59272.1	AAS03688.1
OG0000002	AMC61650.1	AAS06314.1
OG0000003	AMC57716.1	AAS04912.1
OG0000003	AMC57749.1, AMC57932.1	AAS06315.1, AAS06040.1
OG0000003	AMC60758.1, AMC57755.1	AAS06332.1
OG0000004	AMC59643.1	AAS04056.1, AAS06127.1, AAS03019.1, AAS06143.1, AAS02583.1, AAS04847.1, AAS05268.1, AAS05878.1, AAS03015.1, AAS04976.1, AAS05563.1, AAS04967.1, AAS05809.1, AAS04665.1, AAS05801.1, AAS04710.1, AAS03694.1, AAS05770.1, AAS04104.1, AAS06057.1, AAS03026.1, AAS03772.1, AAS02895.1, AAS03753.1, AAS05062.1, AAS02667.1, AAS06053.1, AAS03698.1, AAS05880.1, AAS05685.1, AAS04843.1, AAS03071.1, AAS04024.1, AAS06429.1
OG0000005	AMC58756.1	AAS04913.1
OG0000005	AMC59143.1, AMC59131.1	AAS06302.1, AAS04180.1
OG0000005	AMC57882.1	AAS05834.1
OG0000005	AMC60679.1, AMC60654.1	AAS04179.1
OG0000006	AMC59450.1	AAS06694.1
OG0000006	AMC59415.1, AMC59418.1	AAS04893.1, AAS03824.1
OG0000006	AMC61262.1	AAS03831.1
OG0000007	AMC57950.1	AAS06514.1
OG0000007	AMC58147.1	AAS06667.1
OG0000007	AMC57949.1	AAS06513.1
OG0000007	AMC61169.1, AMC58145.1, AMC58146.1	AAS06645.1
OG0000008	AMC61348.1	AAS04661.1, AAS03091.1, AAS02985.1, AAS04183.1, AAS03044.1, AAS06618.1, AAS04500.1, AAS04966.1, AAS04682.1, AAS04699.1, AAS04842.1, AAS03069.1, AAS04347.1, AAS04296.1, AAS04901.1, AAS06368.1, AAS04688.1, AAS04578.1, AAS03931.1, AAS02839.1
OG0000009	AMC57880.1, AMC57994.1, AMC59173.1	AAS05597.1
OG0000009	AMC60021.1, AMC58182.1	AAS04055.1
OG0000012	AMC58284.1	AAS02919.1
OG0000012	AMC57680.1	AAS04965.1, AAS03072.1, AAS04900.1, AAS06063.1, AAS04503.1, AAS05691.1, AAS04964.1, AAS05099.1, AAS03975.1, AAS04401.1, AAS04504.1, AAS04655.1, AAS05690.1, AAS06212.1
OG0000013	AMC58632.1	AAS06442.1
OG0000013	AMC61523.1	AAS05112.1
OG0000013	AMC61358.1	AAS06487.1, AAS03130.1, AAS03564.1
OG0000013	AMC61318.1	AAS02845.1, AAS03474.1, AAS02865.1
OG0000014	AMC59172.1	AAS06300.1, AAS06496.1, AAS02392.1, AAS05598.1
OG0000014	AMC58183.1	AAS06439.1, AAS04555.1, AAS04054.1
OG0000014	AMC57930.1	AAS03558.1
OG0000016	AMC61286.1	AAS02879.1
OG0000016	AMC59611.1	AAS03074.1, AAS04434.1, AAS04166.1, AAS02409.1
OG0000016	AMC58086.1	AAS06632.1
OG0000017	AMC61363.1	AAS02999.1, AAS03033.1, AAS04679.1, AAS04065.1, AAS03065.1, AAS03030.1, AAS04668.1, AAS04972.1, AAS04544.1, AAS03775.1, AAS04902.1, AAS04702.1, AAS06135.1, AAS04669.1, AAS02824.1
OG0000018	AMC59347.1	AAS06739.1
OG0000018	AMC58352.1	AAS05935.1, AAS06614.1, AAS04393.1, AAS06431.1, AAS02539.1, AAS03199.1, AAS06741.1, AAS06740.1, AAS06747.1, AAS02980.1
OG0000020	AMC60936.1, AMC58497.1, AMC60529.1, AMC59133.1, AMC60874.1, AMC59375.1, AMC58270.1, AMC60697.1	AAS04473.1
OG0000021	AMC58703.1	AAS04962.1, AAS06200.1, AAS06208.1, AAS05065.1, AAS04712.1, AAS02471.1, AAS04707.1, AAS06475.1, AAS03200.1, AAS03000.1, AAS04715.1, AAS04716.1, AAS03998.1
OG0000024	AMC59519.1	AAS03926.1
OG0000024	AMC61625.1	AAS02533.1
OG0000024	AMC57576.1	AAS06081.1
OG0000026	AMC58475.1	AAS03816.1, AAS06737.1, AAS02445.1, AAS06134.1, AAS03747.1, AAS03915.1, AAS04798.1, AAS02543.1, AAS04371.1, AAS04280.1, AAS03201.1
OG0000028	AMC59419.1, AMC58594.1, AMC58767.1, AMC60029.1	AAS03825.1
OG0000029	AMC60824.1	AAS04855.1, AAS04698.1, AAS04515.1, AAS05091.1, AAS03756.1, AAS02366.1, AAS03700.1
OG0000029	AMC58820.1	AAS04854.1
OG0000030	AMC59376.1, AMC59134.1, AMC60530.1, AMC60935.1, AMC60875.1, AMC58271.1, AMC58498.1, AMC60696.1	AAS04472.1
OG0000031	AMC57616.1	AAS06151.1, AAS02997.1, AAS04717.1, AAS06209.1, AAS04672.1, AAS05064.1, AAS04659.1, AAS03097.1, AAS04505.1, AAS06054.1, AAS04388.1
OG0000032	AMC57620.1	AAS03076.1, AAS04506.1, AAS04433.1
OG0000032	AMC58088.1	AAS06634.1
OG0000033	AMC58089.1	AAS06635.1
OG0000033	AMC57621.1	AAS04507.1, AAS03077.1, AAS04169.1, AAS02426.1, AAS04432.1
OG0000034	AMC58845.1, AMC58843.1	AAS04821.1
OG0000034	AMC58466.1	AAS04348.1, AAS04343.1
OG0000035	AMC61644.1	AAS06271.1, AAS04011.1
OG0000035	AMC61649.1	AAS06313.1
OG0000036	AMC59414.1, AMC59417.1, AMC60613.1, AMC59319.1, AMC59416.1	AAS03823.1
OG0000037	AMC58506.1	AAS06834.1
OG0000038	AMC58978.1	AAS02439.1
OG0000038	AMC57754.1	AAS06331.1
OG0000040	AMC58460.1	AAS04103.1, AAS04554.1, AAS02649.1, AAS05198.1, AAS04840.1, AAS04513.1, AAS04330.1, AAS06169.1, AAS06126.1, AAS03187.1
OG0000041	AMC58986.1	AAS03444.1, AAS04335.1, AAS04517.1, AAS06144.1, AAS03758.1, AAS03937.1, AAS06059.1, AAS03780.1, AAS03767.1, AAS04693.1
OG0000042	AMC58003.1, AMC57805.1	AAS06726.1
OG0000042	AMC57868.1, AMC58612.1	AAS02760.1
OG0000042	AMC57869.1	AAS03370.1
OG0000044	AMC61648.1, AMC59132.1	AAS04550.1, AAS05628.1
OG0000044	AMC58754.1	AAS04549.1
OG0000045	AMC58902.1, AMC58905.1, AMC58903.1, AMC58904.1	AAS04757.1
OG0000046	AMC59382.1	AAS06045.1, AAS04337.1
OG0000046	AMC61534.1	AAS03793.1, AAS05978.1, AAS04621.1, AAS02650.1
OG0000047	AMC59440.1	AAS03840.1, AAS03837.1, AAS03471.1, AAS05102.1, AAS05706.1, AAS05103.1, AAS05968.1, AAS02904.1, AAS03834.1
OG0000048	AMC58092.1	AAS03081.1, AAS04510.1, AAS06638.1
OG0000048	AMC57624.1	AAS06158.1
OG0000049	AMC57867.1	AAS05813.1, AAS03745.1, AAS06424.1
OG0000049	AMC59486.1	AAS03878.1
OG0000050	AMC59137.1, AMC59139.1	AAS06312.1, AAS05713.1, AAS03991.1, AAS05188.1
OG0000053	AMC59920.1	AAS04315.1
OG0000053	AMC59921.1	AAS06035.1, AAS04316.1
OG0000054	AMC61332.1	AAS02854.1, AAS03695.1, AAS05877.1, AAS06856.1, AAS02375.1, AAS06099.1, AAS02605.1, AAS02604.1
OG0000055	AMC61359.1	AAS03003.1, AAS04377.1, AAS03337.1, AAS04724.1, AAS03041.1, AAS04963.1, AAS05887.1, AAS02827.1
OG0000056	AMC61368.1	AAS02820.1, AAS04680.1, AAS03776.1, AAS03064.1, AAS04545.1, AAS03032.1, AAS04670.1, AAS02998.1
OG0000057	AMC57545.1	AAS04187.1, AAS04188.1, AAS03559.1, AAS04186.1, AAS03737.1, AAS04489.1
OG0000058	AMC61197.1	AAS06815.1
OG0000058	AMC57919.1	AAS06486.1
OG0000060	AMC58467.1	AAS06722.1, AAS05938.1
OG0000060	AMC58462.1	AAS03189.1
OG0000061	AMC59649.1	AAS04356.1, AAS05043.1
OG0000061	AMC58749.1	AAS04924.1
OG0000064	AMC59266.1, AMC59267.1	AAS03686.1
OG0000064	AMC59273.1	AAS04959.1, AAS03689.1
OG0000065	AMC59970.1	AAS05037.1, AAS06596.1, AAS04069.1, AAS03488.1, AAS03272.1, AAS05808.1
OG0000066	AMC61360.1	AAS02826.1, AAS04975.1, AAS03042.1, AAS02469.1, AAS02391.1, AAS04686.1, AAS03286.1
OG0000067	AMC61440.1	AAS02345.1, AAS03467.1, AAS04591.1, AAS04467.1, AAS02421.1, AAS06309.1, AAS03166.1
OG0000069	AMC57618.1	AAS06153.1
OG0000069	AMC58087.1	AAS06633.1
OG0000070	AMC58090.1	AAS06636.1
OG0000070	AMC57622.1	AAS06156.1
OG0000071	AMC58091.1	AAS06637.1
OG0000071	AMC57623.1	AAS06157.1
OG0000072	AMC58093.1	AAS06639.1
OG0000072	AMC57625.1	AAS06159.1
OG0000073	AMC57674.1	AAS04681.1, AAS06145.1, AAS03762.1, AAS03755.1, AAS04052.1, AAS06205.1
OG0000074	AMC59069.1	AAS03512.1
OG0000074	AMC57703.1	AAS06244.1
OG0000075	AMC57720.1	AAS06257.1
OG0000075	AMC60009.1	AAS04419.1
OG0000077	AMC58635.1	AAS03340.1
OG0000077	AMC61272.1	AAS03773.1
OG0000078	AMC58789.1	AAS05763.1, AAS03666.1, AAS04028.1, AAS03087.1, AAS05645.1, AAS04876.1
OG0000079	AMC58942.1	AAS03266.1, AAS03663.1
OG0000079	AMC58943.1	AAS04829.1, AAS03664.1
OG0000080	AMC59020.1	AAS03475.1
OG0000080	AMC60177.1	AAS04618.1
OG0000081	AMC59174.1	AAS03788.1, AAS04791.1, AAS03382.1, AAS04499.1, AAS02443.1, AAS03580.1
OG0000082	AMC59336.1, AMC59401.1	AAS05092.1, AAS03763.1, AAS05055.1
OG0000083	AMC59647.1	AAS04071.1
OG0000083	AMC59672.1	AAS04058.1, AAS04059.1
OG0000084	AMC61721.1, AMC59738.1, AMC59735.1, AMC59739.1	AAS06876.1
OG0000085	AMC61340.1	AAS02847.1, AAS03013.1, AAS03750.1, AAS03008.1, AAS05948.1, AAS03800.1
OG0000086	AMC61574.1	AAS02587.1, AAS02572.1, AAS02584.1, AAS06860.1, AAS05745.1, AAS05672.1
OG0000088	AMC60945.1, AMC57501.1	AAS05841.1
OG0000089	AMC57506.1	AAS06597.1, AAS04036.1, AAS04043.1, AAS04100.1
OG0000090	AMC57507.1, AMC57918.1	AAS06483.1
OG0000091	AMC58655.1, AMC57510.1	AAS05016.1
OG0000093	AMC58695.1	AAS02615.1
OG0000093	AMC57945.1	AAS06509.1
OG0000094	AMC58008.1	AAS06561.1
OG0000094	AMC58290.1	AAS02925.1
OG0000095	AMC58019.1	AAS06576.1
