HOG	OG	Gene Tree Parent Clade	Mavium	Mafric	Mlepra	Mbovis	Mmicro
N3.HOG0000000	OG0000000	n1		CCC26334.1		ALV10415.1	
N3.HOG0000001	OG0000000	n5		CCC26932.1		ALV10932.1	
N3.HOG0000002	OG0000000	n7				ALV10281.1	
N3.HOG0000003	OG0000000	n70		CCC25953.1		ALV10080.1	
N3.HOG0000004	OG0000000	n74				ALV11719.1	
N3.HOG0000005	OG0000000	n60		CCC25184.1		ALV09382.1	
N3.HOG0000006	OG0000000	n68		CCC27678.1		ALV11599.1	
N3.HOG0000007	OG0000000	n77		CCC25914.1		ALV10047.1	
N3.HOG0000008	OG0000000	n79		CCC26910.1		ALV10910.1, ALV10866.1	
N3.HOG0000009	OG0000000	n53		CCC26535.1		ALV10596.1	
N3.HOG0000010	OG0000000	n64		CCC27928.1		ALV11823.1	
N3.HOG0000011	OG0000000	n66		CCC28677.1		ALV12498.1	
N3.HOG0000012	OG0000000	n84		CCC28589.1		ALV12419.1	
N3.HOG0000013	OG0000000	n16		CCC26490.1		ALV10556.1	
N3.HOG0000014	OG0000000	n35		CCC27245.1		ALV11158.1	
N3.HOG0000015	OG0000000	n40		CCC27723.1		ALV11641.1	
N3.HOG0000016	OG0000000	n49		CCC26544.1		ALV10609.1	
N3.HOG0000017	OG0000000	n50		CCC26546.1		ALV10607.1	
N3.HOG0000018	OG0000000	n57		CCC28429.1		ALV13177.1	
N3.HOG0000019	OG0000000	n58		CCC27480.1		ALV11418.1	
N3.HOG0000020	OG0000000	n31		CCC28593.1		ALV12422.1	
N3.HOG0000021	OG0000000	n33				ALV12424.1	
N3.HOG0000022	OG0000000	n44		CCC27572.1			
N3.HOG0000023	OG0000000	n45		CCC27575.1			
N3.HOG0000024	OG0000000	n111		CCC25829.1			
N3.HOG0000025	OG0000000	n120		CCC26062.1		ALV10177.1	
N3.HOG0000026	OG0000000	n122		CCC26059.1		ALV10174.1	
N3.HOG0000027	OG0000000	n20		CCC28451.1		ALV13179.1	
N3.HOG0000028	OG0000000	n22		CCC28470.1		ALV12324.1	
N3.HOG0000029	OG0000000	n25		CCC26152.1		ALV10259.1	
N3.HOG0000030	OG0000000	n27		CCC26153.1		ALV12895.1	
N3.HOG0000031	OG0000000	n91		CCC25915.1		ALV10049.1	
N3.HOG0000032	OG0000000	n93		CCC26421.1		ALV10490.1	
N3.HOG0000033	OG0000000	n97				ALV09765.1	
N3.HOG0000034	OG0000000	n99		CCC25371.1		ALV09554.1	
N3.HOG0000035	OG0000000	n103		CCC25657.1		ALV09807.1	
N3.HOG0000036	OG0000000	n105				ALV09393.1	
N3.HOG0000037	OG0000000	n107		CCC28672.1		ALV12493.1	
N3.HOG0000038	OG0000000	n109		CCC26172.1		ALV10274.1	
N3.HOG0000039	OG0000001	n3		CCC28213.1		ALV12068.1	
N3.HOG0000040	OG0000001	n5		CCC28214.1		ALV12069.1	
N3.HOG0000041	OG0000001	n12		CCC26900.1		ALV10901.1	
N3.HOG0000042	OG0000001	n25		CCC27843.1		ALV11742.1	
N3.HOG0000043	OG0000001	n27		CCC26122.1		ALV10232.1	
N3.HOG0000044	OG0000001	n18		CCC25996.1		ALV10119.1	
N3.HOG0000045	OG0000001	n20		CCC25462.1		ALV09634.1	
N3.HOG0000046	OG0000001	n82		CCC25428.1		ALV12292.1	
N3.HOG0000047	OG0000001	n38		CCC28202.1			
N3.HOG0000048	OG0000001	n39		CCC27438.1, CCC27435.1			
N3.HOG0000049	OG0000001	n44		CCC26647.1		ALV12953.1	
N3.HOG0000050	OG0000001	n79		CCC25838.1		ALV09977.1	
N3.HOG0000051	OG0000001	n81				ALV12810.1	
N3.HOG0000052	OG0000001	n48		CCC27011.1			
N3.HOG0000053	OG0000001	n49		CCC27010.1		ALV11000.1	
N3.HOG0000054	OG0000001	n52		CCC28428.1		ALV12290.1	
N3.HOG0000055	OG0000001	n72		CCC28639.1		ALV12464.1	
N3.HOG0000056	OG0000001	n74		CCC25379.1		ALV09605.1	
N3.HOG0000057	OG0000001	n61		CCC26842.1		ALV10851.1	
N3.HOG0000058	OG0000001	n58				ALV10320.1	
N3.HOG0000059	OG0000001	n59		CCC25959.1		ALV10086.1	
N3.HOG0000060	OG0000001	n64		CCC28238.1		ALV12091.1	
N3.HOG0000061	OG0000001	n69		CCC27439.1		ALV11379.1	
N3.HOG0000062	OG0000001	n67				ALV12442.1	
N3.HOG0000063	OG0000002	n48		CCC28909.1		ALV12689.1	
N3.HOG0000064	OG0000002	n9		CCC26626.1		ALV10666.1	
N3.HOG0000065	OG0000002	n12		CCC28015.1		ALV11900.1	
N3.HOG0000066	OG0000002	n6				ALV10365.1	
N3.HOG0000067	OG0000002	n16		CCC28008.1		ALV11895.1	
N3.HOG0000068	OG0000002	n33		CCC26752.1		ALV10773.1	
N3.HOG0000069	OG0000002	n45		CCC28009.1		ALV11896.1	
N3.HOG0000070	OG0000002	n23		CCC28022.1		ALV13113.1	
N3.HOG0000071	OG0000002	n26				ALV10772.1	
N3.HOG0000072	OG0000002	n28		CCC27133.1		ALV11114.1	
N3.HOG0000073	OG0000002	n31				ALV10771.1	
N3.HOG0000074	OG0000002	n39		CCC28007.1		ALV11894.1	
N3.HOG0000075	OG0000002	n42		CCC28006.1		ALV11893.1	
N3.HOG0000076	OG0000003	n1		CCC25329.1		ALV09513.1	
N3.HOG0000077	OG0000003	n6		CCC28817.1			
N3.HOG0000078	OG0000003	n35		CCC25360.1		ALV09545.1	
N3.HOG0000079	OG0000003	n14		CCC26481.1		ALV10548.1	
N3.HOG0000080	OG0000003	n33		CCC28094.1		ALV13124.1	
N3.HOG0000081	OG0000003	n34		CCC28098.1		ALV11973.1	
N3.HOG0000082	OG0000003	n21		CCC25354.1		ALV09539.1	
N3.HOG0000083	OG0000003	n23		CCC25527.1		ALV09697.1	
N3.HOG0000084	OG0000004	n0		CCC27084.1		ALV13001.1	
N3.HOG0000085	OG0000005	n1		CCC26276.1		ALV10367.1	
